"",BBK01.OEXB10G,BBK01.OEXB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:56,
2002-01,4.725,
2002-04,5.670,
2002-07,5.408,
2002-10,5.443,
2003-01,5.424,
2003-04,5.595,
2003-07,5.089,
2003-10,5.613,
2004-01,4.914,
2004-04,4.950,
2004-07,4.632,
2004-10,5.540,
2005-01,3.991,
2005-04,4.060,
2005-07,1.626,
2005-10,1.729,
2006-01,1.646,
2006-04,1.760,
2006-07,1.734,
2006-10,1.824,
2007-01,1.830,
2007-04,1.797,
2007-07,1.811,
2007-10,2.032,
2008-01,2.646,
2008-04,2.732,
2008-07,2.608,
2008-10,2.799,
2009-01,3.074,
2009-04,2.621,
2009-07,2.939,
2009-10,2.867,
2010-01,2.473,
2010-04,2.690,
2010-07,2.607,
2010-10,2.744,
2011-01,2.464,
2011-04,2.890,
2011-07,2.797,
2011-10,2.710,
2012-01,2.382,
2012-04,2.529,
2012-07,2.641,
2012-10,3.210,
2013-01,2.851,
2013-04,2.951,
2013-07,3.189,
2013-10,2.880,
2014-01,3.118,
2014-04,3.396,
2014-07,3.482,
