"",BBFB1.Q.N.DE.A2.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:32,
1991-01,523.645,
1991-04,-885.612,
1991-07,382.732,
1991-10,571.097,
1992-01,-609.189,
1992-04,-226.580,
1992-07,739.634,
1992-10,400.219,
1993-01,252.894,
1993-04,575.902,
1993-07,1024.652,
1993-10,1611.356,
1994-01,1059.174,
1994-04,1583.583,
1994-07,1510.360,
1994-10,1681.976,
1995-01,882.722,
1995-04,1667.257,
1995-07,1149.444,
1995-10,1193.958,
1996-01,845.756,
1996-04,1377.511,
1996-07,1944.717,
1996-10,2188.390,
1997-01,2167.149,
1997-04,2395.820,
1997-07,3568.181,
1997-10,3745.045,
1998-01,3399.754,
1998-04,3851.254,
1998-07,3840.758,
1998-10,4348.255,
1999-01,3274.124,
1999-04,4720.685,
1999-07,4713.290,
1999-10,5278.739,
2000-01,5189.167,
2000-04,4734.107,
2000-07,5423.485,
2000-10,4934.698,
2001-01,5632.544,
2001-04,5646.917,
2001-07,7271.171,
2001-10,7249.177,
2002-01,7233.208,
2002-04,6900.744,
2002-07,9697.228,
2002-10,8198.190,
2003-01,6429.863,
2003-04,6838.936,
2003-07,7114.498,
2003-10,6982.816,
2004-01,7885.048,
2004-04,7482.968,
2004-07,8088.018,
2004-10,7933.791,
2005-01,8280.585,
2005-04,8896.279,
2005-07,9485.428,
2005-10,8796.396,
2006-01,9687.055,
2006-04,8206.054,
2006-07,9227.684,
2006-10,10185.764,
2007-01,7793.606,
2007-04,6681.717,
2007-07,8469.421,
2007-10,8012.324,
2008-01,8414.353,
2008-04,8045.264,
2008-07,7324.002,
2008-10,4966.876,
2009-01,3586.692,
2009-04,5568.189,
2009-07,5247.721,
2009-10,5234.270,
2010-01,5506.151,
2010-04,7049.578,
2010-07,6695.599,
2010-10,5918.461,
2011-01,5794.036,
2011-04,6862.777,
2011-07,8429.786,
2011-10,8990.900,
2012-01,10984.382,
2012-04,9345.507,
2012-07,12903.654,
2012-10,10373.024,
2013-01,11752.920,
2013-04,12504.457,
2013-07,13242.779,
2013-10,13391.788,
2014-01,13099.873,Provisional value
2014-04,12917.723,Provisional value
2014-07,16352.558,Provisional value
