"",BBK01.OEAH36I,BBK01.OEAH36I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:33,
2002-01,0.098,
2002-04,0.096,
2002-07,0.077,
2002-10,0.079,
2003-01,0.071,
2003-04,0.175,
2003-07,0.064,
2003-10,0.062,
2004-01,0.059,
2004-04,0.070,
2004-07,0.070,
2004-10,0.069,
2005-01,0.065,
2005-04,0.064,
2005-07,0.063,
2005-10,0.060,
2006-01,0.055,
2006-04,0.055,
2006-07,0.054,
2006-10,0.053,
2007-01,0.425,
2007-04,0.528,
2007-07,0.549,
2007-10,1.150,
2008-01,1.284,
2008-04,1.423,
2008-07,1.517,
2008-10,1.525,
2009-01,1.767,
2009-04,1.823,
2009-07,1.845,
2009-10,2.031,
2010-01,2.346,
2010-04,2.596,
2010-07,2.637,
2010-10,0.025,
2011-01,0.026,
2011-04,0.032,
2011-07,0.034,
2011-10,0.032,
2012-01,0.029,
2012-04,0.022,
2012-07,0.018,
2012-10,0.015,
2013-01,0.014,
2013-04,0.025,
2013-07,0.073,
2013-10,0.087,
2014-01,0.195,
2014-04,0.214,
2014-07,0.337,
