"",BBK01.OECB19N,BBK01.OECB19N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:53,
2002-01,0.839,
2002-04,0.816,
2002-07,0.789,
2002-10,0.769,
2003-01,0.748,
2003-04,0.740,
2003-07,0.728,
2003-10,0.701,
2004-01,0.697,
2004-04,0.687,
2004-07,0.703,
2004-10,0.673,
2005-01,0.730,
2005-04,0.756,
2005-07,0.749,
2005-10,0.796,
2006-01,0.787,
2006-04,0.798,
2006-07,0.803,
2006-10,0.789,
2007-01,0.844,
2007-04,0.825,
2007-07,0.847,
2007-10,0.800,
2008-01,0.680,
2008-04,0.676,
2008-07,0.679,
2008-10,0.657,
2009-01,0.579,
2009-04,0.583,
2009-07,0.575,
2009-10,0.572,
2010-01,0.559,
2010-04,0.614,
2010-07,0.728,
2010-10,0.726,
2011-01,0.721,
2011-04,0.723,
2011-07,0.763,
2011-10,0.798,
2012-01,0.819,
2012-04,0.803,
2012-07,0.789,
2012-10,0.776,
2013-01,0.769,
2013-04,0.747,
2013-07,0.690,
2013-10,0.650,
2014-01,0.612,
2014-04,0.586,
2014-07,0.582,
