"",BBK01.OEAH81N,BBK01.OEAH81N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:40,
2002-01,0.305,
2002-04,0.296,
2002-07,0.282,
2002-10,0.284,
2003-01,0.289,
2003-04,0.276,
2003-07,0.277,
2003-10,0.272,
2004-01,0.334,
2004-04,0.321,
2004-07,0.338,
2004-10,0.334,
2005-01,0.206,
2005-04,0.198,
2005-07,0.190,
2005-10,0.195,
2006-01,0.169,
2006-04,0.156,
2006-07,0.143,
2006-10,0.156,
2007-01,0.145,
2007-04,0.133,
2007-07,0.127,
2007-10,0.128,
2008-01,0.124,
2008-04,0.113,
2008-07,0.101,
2008-10,0.103,
2009-01,0.152,
2009-04,0.149,
2009-07,0.124,
2009-10,0.134,
2010-01,0.160,
2010-04,0.170,
2010-07,0.148,
2010-10,0.149,
2011-01,0.155,
2011-04,0.152,
2011-07,0.134,
2011-10,0.132,
2012-01,0.089,
2012-04,0.092,
2012-07,0.097,
2012-10,0.111,
2013-01,0.125,
2013-04,0.147,
2013-07,0.153,
2013-10,0.139,
2014-01,0.107,
2014-04,0.103,
2014-07,0.126,
