"",BBK01.OELJ06P,BBK01.OELJ06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:53,
2002-01,0.106,
2002-04,0.107,
2002-07,0.102,
2002-10,0.098,
2003-01,0.098,
2003-04,0.094,
2003-07,0.093,
2003-10,0.086,
2004-01,0.082,
2004-04,0.080,
2004-07,0.077,
2004-10,0.079,
2005-01,0.077,
2005-04,0.072,
2005-07,0.069,
2005-10,0.063,
2006-01,0.060,
2006-04,0.063,
2006-07,0.059,
2006-10,0.046,
2007-01,0.046,
2007-04,0.042,
2007-07,0.046,
2007-10,0.040,
2008-01,0.040,
2008-04,0.038,
2008-07,0.037,
2008-10,0.037,
2009-01,0.030,
2009-04,0.025,
2009-07,0.025,
2009-10,0.025,
2010-01,0.022,
2010-04,0.021,
2010-07,0.022,
2010-10,0.021,
2011-01,0.021,
2011-04,0.021,
2011-07,0.020,
2011-10,0.019,
2012-01,0.018,
2012-04,0.020,
2012-07,0.019,
2012-10,0.019,
2013-01,0.019,
2013-04,0.018,
2013-07,0.017,
2013-10,0.016,
2014-01,0.016,
2014-04,0.006,
2014-07,0.006,
