"",BBK01.OECB13S,BBK01.OECB13S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:54,
2002-01,0.762,
2002-04,0.762,
2002-07,0.754,
2002-10,0.577,
2003-01,0.560,
2003-04,0.552,
2003-07,0.542,
2003-10,0.528,
2004-01,0.517,
2004-04,0.511,
2004-07,0.508,
2004-10,0.498,
2005-01,0.537,
2005-04,0.527,
2005-07,0.519,
2005-10,0.506,
2006-01,0.503,
2006-04,0.507,
2006-07,0.506,
2006-10,0.486,
2007-01,0.479,
2007-04,0.474,
2007-07,0.464,
2007-10,0.455,
2008-01,0.453,
2008-04,0.449,
2008-07,0.442,
2008-10,0.443,
2009-01,0.436,
2009-04,0.576,
2009-07,0.564,
2009-10,0.559,
2010-01,0.555,
2010-04,0.550,
2010-07,0.544,
2010-10,0.553,
2011-01,0.532,
2011-04,0.536,
2011-07,0.524,
2011-10,0.521,
2012-01,0.495,
2012-04,0.486,
2012-07,0.480,
2012-10,0.480,
2013-01,0.484,
2013-04,0.489,
2013-07,0.485,
2013-10,0.486,
2014-01,0.488,
2014-04,0.486,
2014-07,0.485,
