"",BBK01.OEYB14N,BBK01.OEYB14N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:31,
2002-01,0.338,
2002-04,0.337,
2002-07,0.343,
2002-10,0.247,
2003-01,0.267,
2003-04,0.316,
2003-07,0.256,
2003-10,0.109,
2004-01,0.052,
2004-04,0.045,
2004-07,0.052,
2004-10,0.056,
2005-01,0.068,
2005-04,0.057,
2005-07,0.046,
2005-10,0.041,
2006-01,0.052,
2006-04,0.057,
2006-07,0.063,
2006-10,0.068,
2007-01,0.061,
2007-04,0.057,
2007-07,0.044,
2007-10,0.050,
2008-01,0.042,
2008-04,0.042,
2008-07,0.052,
2008-10,0.068,
2009-01,0.057,
2009-04,0.055,
2009-07,0.054,
2009-10,0.049,
2010-01,0.047,
2010-04,0.078,
2010-07,0.071,
2010-10,0.067,
2011-01,0.071,
2011-04,0.077,
2011-07,0.083,
2011-10,0.080,
2012-01,0.076,
2012-04,0.076,
2012-07,0.087,
2012-10,0.093,
2013-01,0.102,
2013-04,0.096,
2013-07,0.085,
2013-10,0.084,
2014-01,0.085,
2014-04,0.083,
2014-07,0.063,
