"",BBEX3.M.NOK.USD.CA.AA.A01,BBEX3.M.NOK.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Norway / USD 1 = NOK ... (buying),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:46,
1989-01,6.7220,
1989-02,6.6940,
1989-03,6.8630,
1989-04,6.8030,
1989-05,7.1700,
1989-06,7.1310,
1989-07,6.8490,
1989-08,7.1190,
1989-09,6.8820,
1989-10,6.8870,
1989-11,6.8200,
1989-12,6.6040,
1990-01,6.4780,
1990-02,6.5070,
1990-03,6.5480,
1990-04,6.5210,
1990-05,6.4800,
1990-06,6.4100,
1990-07,6.1750,
1990-08,6.0480,
1990-09,6.0540,
1990-10,5.8970,
1990-11,5.8650,
1990-12,5.8965,
1991-01,5.8110,
1991-02,5.9300,
1991-03,6.5370,
1991-04,6.7340,
1991-05,6.7090,
1991-06,7.0570,
1991-07,6.8100,
1991-08,6.7910,
1991-09,6.4960,
1991-10,6.5590,
1991-11,6.4090,
1991-12,5.9620,
1992-01,6.3175,
1992-02,6.4182,
1992-03,6.4352,
1992-04,6.4660,
1992-05,6.2635,
1992-06,5.9620,
1992-07,5.8055,
1992-08,5.5710,
1992-09,5.7100,
1992-10,6.2425,
1992-11,6.5415,
1992-12,6.9135,comment
1993-01,6.7750,
1993-02,6.9920,
1993-03,6.8585,
1993-04,6.6795,
1993-05,6.7910,
1993-06,7.1350,
1993-07,7.4495,
1993-08,7.2495,
1993-09,7.0555,
1993-10,7.3100,
1993-11,7.4235,
1993-12,7.5070,
1994-01,7.4730,
1994-02,7.4220,
1994-03,7.2895,
1994-04,7.2060,
1994-05,7.1070,
1994-06,6.9525,
1994-07,6.9340,
1994-08,6.9200,
1994-09,6.7635,
1994-10,6.5585,
1994-11,6.8295,
1994-12,6.7510,
1995-01,6.5945,
1995-02,6.4730,
1995-03,6.1715,
1995-04,6.1875,
1995-05,6.1685,
1995-06,6.1605,
1995-07,6.1120,
1995-08,6.4050,
1995-09,6.2310,
1995-10,6.2305,
1995-11,6.3180,
1995-12,6.3080,
1996-01,6.5175,
1996-02,6.3795,
1996-03,6.3980,
1996-04,6.5540,
1996-05,6.5500,
1996-06,6.4895,
1996-07,6.3530,
1996-08,6.4015,
1996-09,6.4965,
1996-10,6.3735,
1996-11,6.3905,
1996-12,6.4315,
1997-01,6.4945,
1997-02,6.7310,
1997-03,6.6525,
1997-04,7.0970,
1997-05,7.0780,
1997-06,7.2815,
1997-07,7.5955,
1997-08,7.3910,
1997-09,7.0940,
1997-10,7.0065,
1997-11,7.1860,
1997-12,7.3047,
1998-01,7.5950,
1998-02,7.5425,
1998-03,7.6075,
1998-04,7.4360,
1998-05,7.5430,
1998-06,7.6583,
1998-07,7.5380,
1998-08,7.8756,
1998-09,7.3669,
1998-10,7.3413,
1998-11,7.5307,
1998-12,7.5886,
1999-01,7.4885,
1999-02,7.9090,
1999-03,7.7790,
1999-04,7.7775,
1999-05,7.8630,
1999-06,7.8335,
1999-07,7.7925,
1999-08,7.8715,
1999-09,7.7495,
1999-10,7.8119,
1999-11,8.0544,
1999-12,8.0250,
2000-01,8.2395,
2000-02,8.3355,
2000-03,8.4260,
2000-04,8.9277,
2000-05,8.9253,
2000-06,8.5630,
2000-07,8.8461,
2000-08,9.0367,
2000-09,9.0893,
2000-10,9.3820,
2000-11,9.3353,
2000-12,8.8835,
2001-01,8.7895,
2001-02,8.9315,
2001-03,9.1047,
2001-04,9.0825,
2001-05,9.2727,
2001-06,9.3111,
2001-07,9.1079,
2001-08,8.7788,
2001-09,8.8367,
2001-10,8.8155,
2001-11,8.9609,
2001-12,9.0023,
2002-01,9.0804,
2002-02,8.8979,
2002-03,8.7962,
2002-04,8.3856,
2002-05,7.9584,
2002-06,7.4703,
2002-07,7.5691,
2002-08,7.4873,
2002-09,7.4550,
2002-10,7.4578,
2002-11,7.3196,
2002-12,6.9449,
2003-01,6.8712,
2003-02,7.2119,
2003-03,7.2745,
2003-04,7.0285,
2003-05,6.6256,
2003-06,7.2052,
2003-07,7.1923,
2003-08,7.5918,
2003-09,7.0057,
2003-10,7.0459,
2003-11,6.8338,
2003-12,6.6709,
2004-01,7.0775,
2004-02,7.0139,
2004-03,6.8496,
2004-04,6.8419,
2004-05,6.6926,
2004-06,6.9369,
2004-07,6.9968,
2004-08,6.9341,
2004-09,6.7744,
2004-10,6.3791,
2004-11,6.1194,
2004-12,6.0331,
2005-01,6.3352,
2005-02,6.2113,
2005-03,6.3240,
2005-04,6.2700,
2005-05,6.4372,
2005-06,6.5321,
2005-07,6.5075,
2005-08,6.4494,
2005-09,6.5145,
2005-10,6.4596,
2005-11,6.7435,
2005-12,6.7502,
2006-01,6.7034,
2006-02,6.7645,
2006-03,6.5485,
2006-04,6.1854,
2006-05,6.0513,
2006-06,6.2203,
2006-07,6.1665,
2006-08,6.2860,
2006-09,6.4685,
2006-10,6.5563,
2006-11,6.2066,
2006-12,6.2579,
2007-01,6.2832,
2007-02,6.1312,
2007-03,6.0755,
2007-04,5.9668,
2007-05,6.0500,
2007-06,5.8965,
2007-07,5.8180,
2007-08,5.8028,
2007-09,5.4316,
2007-10,5.3368,
2007-11,5.4964,
2007-12,5.3932,
2008-01,5.4185,
2008-02,5.1651,
2008-03,5.0970,
2008-04,5.1259,
2008-05,5.0770,
2008-06,5.0436,
2008-07,5.1216,
2008-08,5.3640,
2008-09,5.7845,
2008-10,6.7134,
2008-11,6.8985,
2008-12,6.9881,
2009-01,6.9035,
2009-02,6.9672,
2009-03,6.7547,
2009-04,6.5274,
2009-05,6.3905,
2009-06,6.3764,
2009-07,6.1807,
2009-08,6.0335,
2009-09,5.8086,
2009-10,5.6452,
2009-11,5.6234,
2009-12,5.7461,
2010-01,5.8738,
2010-02,5.9301,
2010-03,5.9665,
2010-04,5.8838,
2010-05,6.4488,
2010-06,6.4585,
2010-07,6.0620,
2010-08,6.3290,
2010-09,5.8507,
2010-10,5.9310,
2010-11,6.1436,
2010-12,5.8377,
2011-01,5.7982,
2011-02,5.6213,
2011-03,5.5521,
2011-04,5.2363,
2011-05,5.3775,
2011-06,5.3567,
2011-07,5.4071,
2011-08,5.3477,
2011-09,5.8343,
2011-10,5.4543,
2011-11,5.8647,
2011-12,5.9955,
2012-01,5.8033,
2012-02,5.5451,
2012-03,5.6953,
