"",BBK01.OEYJ01K,BBK01.OEYJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:28,
2002-01,25.776,
2002-04,26.145,
2002-07,28.948,
2002-10,28.541,
2003-01,29.511,
2003-04,29.139,
2003-07,27.574,
2003-10,28.760,
2004-01,28.153,
2004-04,30.503,
2004-07,31.719,
2004-10,18.515,
2005-01,19.003,
2005-04,19.325,
2005-07,19.875,
2005-10,20.205,
2006-01,20.643,
2006-04,22.497,
2006-07,30.182,
2006-10,28.029,
2007-01,28.441,
2007-04,29.407,
2007-07,30.541,
2007-10,30.035,
2008-01,29.655,
2008-04,29.302,
2008-07,29.215,
2008-10,29.580,
2009-01,27.720,
2009-04,27.776,
2009-07,28.802,
2009-10,27.591,
2010-01,27.134,
2010-04,27.555,
2010-07,27.587,
2010-10,27.547,
2011-01,26.442,
2011-04,24.845,
2011-07,18.893,
2011-10,19.538,
2012-01,18.965,
2012-04,18.580,
2012-07,18.683,
2012-10,17.301,
2013-01,17.534,
2013-04,17.270,
2013-07,17.408,
2013-10,16.539,
2014-01,16.215,
2014-04,16.632,
2014-07,16.756,
