"",BBSF2.M.1.P.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Public funds / Other funds / Investment fund shares,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:14,
2009-09,2,
2009-10,40,
2009-11,69,
2009-12,106,
2010-01,123,
2010-02,166,
2010-03,178,
2010-04,203,
2010-05,275,
2010-06,287,
2010-07,306,
2010-08,387,
2010-09,313,
2010-10,414,
2010-11,433,
2010-12,476,
2011-01,421,
2011-02,462,
2011-03,411,
2011-04,415,
2011-05,453,
2011-06,449,
2011-07,459,
2011-08,466,
2011-09,467,
2011-10,582,
2011-11,578,
2011-12,645,
2012-01,662,
2012-02,668,
2012-03,678,
2012-04,658,
2012-05,661,
2012-06,656,
2012-07,653,
2012-08,595,
2012-09,595,
2012-10,581,
2012-11,552,
2012-12,554,
2013-01,536,
2013-02,520,
2013-03,515,
2013-04,516,
2013-05,501,
2013-06,475,
2013-07,479,
2013-08,474,
2013-09,486,
2013-10,837,
2013-11,845,
2013-12,839,
2014-01,819,
2014-02,819,
2014-03,820,
2014-04,844,
2014-05,873,
2014-06,858,
2014-07,818,
2014-08,825,
2014-09,798,
2014-10,797,
2014-11,572,
