"",BBK01.CEFE50,BBK01.CEFE50_FLAGS
"",short-term loans                                              debtor: OFI              creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:55,
1999-01,62.8,
1999-04,76.1,
1999-07,65.4,
1999-10,70.9,
2000-01,106.2,
2000-04,125.8,
2000-07,120.7,
2000-10,119.8,
2001-01,138.7,
2001-04,135.0,
2001-07,139.8,
2001-10,128.1,
2002-01,123.4,
2002-04,117.8,
2002-07,117.9,
2002-10,114.1,
2003-01,132.7,
2003-04,131.1,
2003-07,132.7,
2003-10,124.1,
2004-01,133.7,
2004-04,123.9,
2004-07,123.3,
2004-10,122.0,
2005-01,122.6,
2005-04,126.4,
2005-07,147.1,
2005-10,141.1,
2006-01,172.1,
2006-04,183.4,
2006-07,191.6,
2006-10,170.1,
2007-01,196.2,
2007-04,214.4,
2007-07,220.3,
2007-10,204.6,
2008-01,239.5,
2008-04,251.8,
2008-07,246.1,
2008-10,255.2,
2009-01,269.7,
2009-04,275.6,
2009-07,262.4,
2009-10,291.9,
2010-01,261.7,
2010-04,300.9,
2010-07,301.1,
2010-10,302.9,
2011-01,307.6,
2011-04,354.8,
2011-07,415.3,
2011-10,386.4,
2012-01,416.2,
2012-04,457.3,
2012-07,444.5,
2012-10,434.4,
2013-01,469.2,
2013-04,523.4,
2013-07,290.0,
2013-10,265.4,
2014-01,285.6,
2014-04,292.5,
2014-07,296.1,
