"",BBK01.OEAA54J,BBK01.OEAA54J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:52,
2002-01,0.849,
2002-04,0.714,
2002-07,0.689,
2002-10,0.602,
2003-01,0.562,
2003-04,0.534,
2003-07,0.521,
2003-10,0.407,
2004-01,0.421,
2004-04,0.545,
2004-07,0.620,
2004-10,0.539,
2005-01,0.551,
2005-04,0.626,
2005-07,0.671,
2005-10,0.672,
2006-01,0.642,
2006-04,0.625,
2006-07,0.684,
2006-10,0.612,
2007-01,0.579,
2007-04,0.661,
2007-07,0.653,
2007-10,0.746,
2008-01,0.720,
2008-04,0.885,
2008-07,1.062,
2008-10,1.093,
2009-01,1.086,
2009-04,1.001,
2009-07,0.908,
2009-10,0.918,
2010-01,0.832,
2010-04,1.278,
2010-07,1.187,
2010-10,1.167,
2011-01,1.037,
2011-04,0.940,
2011-07,0.974,
2011-10,0.913,
2012-01,0.619,
2012-04,0.628,
2012-07,0.535,
2012-10,0.259,
2013-01,0.245,
2013-04,0.231,
2013-07,0.311,
2013-10,0.265,
2014-01,0.257,
2014-04,0.247,
2014-07,0.258,
