"",BBK01.OEAK04P,BBK01.OEAK04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:26,
2002-01,0.374,
2002-04,0.347,
2002-07,0.326,
2002-10,0.299,
2003-01,0.327,
2003-04,0.326,
2003-07,0.311,
2003-10,0.261,
2004-01,0.268,
2004-04,0.263,
2004-07,0.262,
2004-10,0.256,
2005-01,0.236,
2005-04,0.231,
2005-07,0.233,
2005-10,0.211,
2006-01,0.229,
2006-04,0.225,
2006-07,0.237,
2006-10,0.242,
2007-01,0.275,
2007-04,0.279,
2007-07,0.288,
2007-10,0.322,
2008-01,0.330,
2008-04,0.318,
2008-07,0.379,
2008-10,0.404,
2009-01,0.352,
2009-04,0.323,
2009-07,0.324,
2009-10,0.293,
2010-01,0.239,
2010-04,0.261,
2010-07,0.247,
2010-10,0.249,
2011-01,0.243,
2011-04,0.263,
2011-07,0.240,
2011-10,0.254,
2012-01,0.258,
2012-04,0.252,
2012-07,0.245,
2012-10,0.238,
2013-01,0.224,
2013-04,0.213,
2013-07,0.209,
2013-10,0.204,
2014-01,0.213,
2014-04,0.210,
2014-07,0.208,
