"",BBK01.OEAF07L,BBK01.OEAF07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:14,
2002-01,2.107,
2002-04,2.003,
2002-07,2.135,
2002-10,2.006,
2003-01,1.930,
2003-04,2.084,
2003-07,2.024,
2003-10,1.917,
2004-01,1.801,
2004-04,1.795,
2004-07,1.904,
2004-10,1.757,
2005-01,1.640,
2005-04,1.634,
2005-07,1.685,
2005-10,1.745,
2006-01,1.627,
2006-04,1.693,
2006-07,1.700,
2006-10,1.647,
2007-01,1.557,
2007-04,2.366,
2007-07,1.680,
2007-10,1.635,
2008-01,1.631,
2008-04,1.672,
2008-07,1.977,
2008-10,1.663,
2009-01,1.526,
2009-04,1.592,
2009-07,1.619,
2009-10,1.551,
2010-01,1.457,
2010-04,1.251,
2010-07,1.404,
2010-10,1.590,
2011-01,1.348,
2011-04,1.379,
2011-07,1.280,
2011-10,1.361,
2012-01,1.375,
2012-04,1.350,
2012-07,1.480,
2012-10,1.531,
2013-01,1.346,
2013-04,1.352,
2013-07,1.318,
2013-10,1.235,
2014-01,1.284,
2014-04,1.257,
2014-07,1.251,
