"",BBK01.OEBI10H,BBK01.OEBI10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:13,
2002-01,0.530,
2002-04,0.545,
2002-07,0.540,
2002-10,0.536,
2003-01,0.525,
2003-04,0.454,
2003-07,0.466,
2003-10,0.460,
2004-01,0.454,
2004-04,0.444,
2004-07,0.445,
2004-10,0.397,
2005-01,0.465,
2005-04,0.466,
2005-07,0.430,
2005-10,0.964,
2006-01,0.939,
2006-04,0.911,
2006-07,0.859,
2006-10,0.738,
2007-01,0.681,
2007-04,2.270,
2007-07,2.257,
2007-10,2.006,
2008-01,1.760,
2008-04,1.680,
2008-07,1.496,
2008-10,1.461,
2009-01,1.402,
2009-04,1.254,
2009-07,1.219,
2009-10,1.156,
2010-01,1.105,
2010-04,1.058,
2010-07,1.011,
2010-10,0.914,
2011-01,0.856,
2011-04,0.750,
2011-07,0.688,
2011-10,0.601,
2012-01,0.548,
2012-04,0.529,
2012-07,0.527,
2012-10,0.500,
2013-01,0.450,
2013-04,0.428,
2013-07,0.414,
2013-10,0.388,
2014-01,0.368,
2014-04,0.363,
2014-07,0.155,
