"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:54,
1991-01,-6.011,
1991-04,-6.049,
1991-07,-6.359,
1991-10,-6.042,
1992-01,0.464,
1992-04,0.545,
1992-07,-5.345,
1992-10,0.545,
1993-01,26.614,
1993-04,26.614,
1993-07,26.614,
1993-10,26.614,
1994-01,-5.456,
1994-04,-5.532,
1994-07,-5.967,
1994-10,-5.456,
1995-01,64.593,
1995-04,64.907,
1995-07,64.907,
1995-10,63.374,
1996-01,34.261,
1996-04,34.344,
1996-07,34.347,
1996-10,34.167,
1997-01,13.550,
1997-04,13.550,
1997-07,13.550,
1997-10,10.457,
1998-01,61.310,
1998-04,60.309,
1998-07,60.415,
1998-10,34.237,
1999-01,190.984,
1999-04,191.000,
1999-07,191.939,
1999-10,192.000,
2000-01,169.707,
2000-04,170.606,
2000-07,174.000,
2000-10,172.553,
2001-01,35.790,
2001-04,-190.567,
2001-07,-125.074,
2001-10,8.516,
2002-01,29.302,
2002-04,44.376,
2002-07,27.788,
2002-10,97.939,
2003-01,18.410,
2003-04,35.974,
2003-07,43.499,
2003-10,50.188,
2004-01,274.499,
2004-04,156.126,
2004-07,242.748,
2004-10,257.203,
2005-01,297.428,
2005-04,130.999,
2005-07,253.627,
2005-10,315.155,
2006-01,149.448,
2006-04,140.119,
2006-07,241.319,
2006-10,188.040,
2007-01,417.278,
2007-04,264.293,
2007-07,288.669,
2007-10,139.115,
2008-01,139.843,
2008-04,-169.559,
2008-07,-25.202,
2008-10,92.579,
2009-01,3.830,
2009-04,76.695,
2009-07,144.266,
2009-10,185.552,
2010-01,149.734,
2010-04,-140.758,
2010-07,165.184,
2010-10,150.032,
2011-01,12.864,
2011-04,-84.623,
2011-07,-44.031,
2011-10,-11.755,
2012-01,11.116,
2012-04,-359.981,
2012-07,-39.047,
2012-10,-28.694,
2013-01,953.029,
2013-04,780.523,
2013-07,933.361,
2013-10,917.549,
2014-01,944.660,Provisional value
2014-04,797.710,Provisional value
2014-07,955.761,Provisional value
2014-10,948.198,Provisional value
