"",BBK01.OECB21Q,BBK01.OECB21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:33,
2002-01,0.220,
2002-04,0.231,
2002-07,0.240,
2002-10,0.245,
2003-01,0.236,
2003-04,0.251,
2003-07,0.249,
2003-10,0.238,
2004-01,0.231,
2004-04,0.142,
2004-07,0.148,
2004-10,0.172,
2005-01,0.277,
2005-04,0.265,
2005-07,0.282,
2005-10,0.285,
2006-01,0.315,
2006-04,0.294,
2006-07,0.345,
2006-10,0.330,
2007-01,0.344,
2007-04,0.331,
2007-07,0.345,
2007-10,0.347,
2008-01,0.386,
2008-04,0.396,
2008-07,0.357,
2008-10,0.355,
2009-01,0.364,
2009-04,0.360,
2009-07,0.357,
2009-10,0.203,
2010-01,0.206,
2010-04,0.211,
2010-07,0.196,
2010-10,0.203,
2011-01,0.181,
2011-04,0.177,
2011-07,0.169,
2011-10,0.162,
2012-01,0.157,
2012-04,0.157,
2012-07,0.197,
2012-10,0.139,
2013-01,0.177,
2013-04,0.177,
2013-07,0.185,
2013-10,0.193,
2014-01,0.221,
2014-04,0.263,
2014-07,0.255,
