"",BBK01.OEYO06J,BBK01.OEYO06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:29,
2002-01,0.132,
2002-04,0.127,
2002-07,0.129,
2002-10,0.133,
2003-01,0.141,
2003-04,0.145,
2003-07,0.142,
2003-10,0.136,
2004-01,0.140,
2004-04,0.135,
2004-07,0.132,
2004-10,0.136,
2005-01,0.131,
2005-04,0.150,
2005-07,0.151,
2005-10,0.141,
2006-01,0.132,
2006-04,0.143,
2006-07,0.127,
2006-10,0.121,
2007-01,0.120,
2007-04,0.118,
2007-07,0.130,
2007-10,0.142,
2008-01,0.137,
2008-04,0.131,
2008-07,0.127,
2008-10,0.135,
2009-01,0.174,
2009-04,0.171,
2009-07,0.160,
2009-10,0.163,
2010-01,0.157,
2010-04,0.145,
2010-07,0.140,
2010-10,0.146,
2011-01,0.142,
2011-04,0.138,
2011-07,0.140,
2011-10,0.158,
2012-01,0.150,
2012-04,0.170,
2012-07,0.166,
2012-10,0.160,
2013-01,0.164,
2013-04,0.164,
2013-07,0.167,
2013-10,0.181,
2014-01,0.179,
2014-04,0.179,
2014-07,0.177,
