"",BBFN1.M.DE.N.1.A.BE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:14,
1994-12,6.154,
1995-01,6.544,
1995-02,6.612,
1995-03,6.768,
1995-04,6.939,
1995-05,6.704,
1995-06,6.624,
1995-07,6.630,
1995-08,6.686,
1995-09,6.313,
1995-10,6.280,
1995-11,6.261,
1995-12,5.792,
1996-01,6.236,
1996-02,7.273,
1996-03,8.241,
1996-04,8.387,
1996-05,8.135,
1996-06,8.156,
1996-07,6.481,
1996-08,6.374,
1996-09,7.054,
1996-10,7.476,
1996-11,7.182,
1996-12,7.596,
1997-01,8.423,
1997-02,8.311,
1997-03,7.848,
1997-04,8.390,
1997-05,9.012,
1997-06,8.202,
1997-07,8.075,
1997-08,7.535,
1997-09,7.425,
1997-10,8.186,
1997-11,8.086,
1997-12,7.882,
1998-01,8.632,
1998-02,9.125,
1998-03,9.067,
1998-04,9.222,
1998-05,9.164,
1998-06,8.868,
1998-07,9.510,
1998-08,9.731,
1998-09,9.640,
1998-10,9.493,
1998-11,11.302,
1998-12,10.371,
1999-01,10.409,
1999-02,10.400,
1999-03,9.637,
1999-04,9.790,
1999-05,9.182,
1999-06,9.742,
1999-07,9.019,
1999-08,8.822,
1999-09,10.130,
1999-10,9.159,
1999-11,9.425,
1999-12,8.904,
2000-01,9.770,
2000-02,9.822,
2000-03,10.371,
2000-04,9.933,
2000-05,10.719,
2000-06,13.231,
2000-07,10.703,
2000-08,12.197,
2000-09,17.202,
2000-10,17.055,
2000-11,15.496,
2000-12,15.298,
2001-01,16.564,
2001-02,14.681,
2001-03,14.836,
2001-04,14.475,
2001-05,14.233,
2001-06,15.788,
2001-07,10.633,
2001-08,10.479,
2001-09,11.334,
2001-10,10.008,
2001-11,10.034,
2001-12,10.392,
2002-01,11.316,
2002-02,11.265,
2002-03,10.989,
2002-04,9.976,
2002-05,9.903,
2002-06,9.563,
2002-07,9.406,
2002-08,8.752,
2002-09,10.435,
2002-10,9.438,
2002-11,10.017,
2002-12,9.845,
2003-01,9.620,
2003-02,9.834,
2003-03,10.374,
2003-04,9.794,
2003-05,10.556,
2003-06,10.919,
2003-07,11.226,
2003-08,11.719,
2003-09,12.545,
2003-10,11.755,
2003-11,11.400,
2003-12,9.638,
2004-01,15.195,
2004-02,11.140,
2004-03,12.086,
2004-04,11.365,
2004-05,10.812,
2004-06,10.847,
2004-07,11.085,
2004-08,12.108,
2004-09,11.376,
2004-10,11.752,
2004-11,11.847,
2004-12,11.923,
2005-01,11.440,
2005-02,12.220,
2005-03,12.087,
2005-04,12.176,
2005-05,11.826,
2005-06,12.261,
2005-07,11.658,
2005-08,12.122,
2005-09,12.245,
2005-10,13.355,
2005-11,11.272,
2005-12,10.938,
2006-01,11.139,
2006-02,12.320,
2006-03,12.054,
2006-04,11.893,
2006-05,13.096,
2006-06,12.914,
2006-07,13.523,
2006-08,13.820,
2006-09,13.926,
2006-10,13.488,
2006-11,14.262,
2006-12,13.166,
2007-01,12.625,
2007-02,13.587,
2007-03,13.996,
2007-04,14.711,
2007-05,14.441,
2007-06,15.032,
2007-07,14.848,
2007-08,13.174,
2007-09,13.573,
2007-10,13.817,
2007-11,14.456,
2007-12,16.602,
2008-01,18.067,
2008-02,17.104,
2008-03,18.655,
2008-04,18.674,
2008-05,21.395,
2008-06,17.843,
2008-07,19.158,
2008-08,21.604,
2008-09,22.295,
2008-10,21.617,
2008-11,17.214,
2008-12,22.084,
2009-01,23.433,
2009-02,20.784,
2009-03,27.016,
2009-04,23.554,
2009-05,21.185,
2009-06,24.899,
2009-07,23.108,
2009-08,21.557,
2009-09,23.995,
2009-10,25.662,
2009-11,27.424,
2009-12,28.059,
2010-01,26.422,
2010-02,27.247,
2010-03,26.916,
2010-04,26.917,
2010-05,30.445,
2010-06,32.206,
2010-07,27.148,
2010-08,24.111,
2010-09,24.409,
2010-10,24.223,
2010-11,24.323,
2010-12,21.146,
2011-01,21.055,
2011-02,21.009,
2011-03,24.449,
2011-04,24.721,
2011-05,29.459,
2011-06,29.840,
2011-07,33.961,
2011-08,40.854,
2011-09,48.868,
2011-10,39.258,
2011-11,36.573,
2011-12,33.120,
2012-01,40.257,
2012-02,31.944,
2012-03,32.606,
2012-04,35.156,
2012-05,37.709,
2012-06,38.337,
2012-07,32.773,
2012-08,30.718,
2012-09,34.136,
2012-10,29.646,
2012-11,28.381,
2012-12,23.706,
2013-01,36.340,
2013-02,39.269,
2013-03,35.854,
2013-04,38.173,
2013-05,39.209,
2013-06,39.152,
2013-07,38.259,
2013-08,35.188,
2013-09,36.171,
2013-10,37.143,
2013-11,37.337,
2013-12,32.875,
2014-01,32.387,
2014-02,32.522,
2014-03,33.135,
2014-04,33.781,
2014-05,35.226,
2014-06,34.566,
2014-07,38.815,
2014-08,37.371,
2014-09,39.593,
2014-10,37.063,
2014-11,39.033,
2014-12,33.694,
