"",BBK01.WX0057,BBK01.WX0057_FLAGS
"",Disount interest rates pursuant to section 253 (2) of the German Commercial Code including spread / residual maturity of 35.0 years / end of month,
unit,,
unit multiplier,one,
last update,2015-02-02 10:29:16,
2008-12,5.34,
2009-01,5.35,
2009-02,5.35,
2009-03,5.35,
2009-04,5.35,
2009-05,5.35,
2009-06,5.35,
2009-07,5.34,
2009-08,5.34,Corrected value
2009-09,5.33,Corrected value
2009-10,5.31,
2009-11,5.30,
2009-12,5.29,
2010-01,5.28,
2010-02,5.27,
2010-03,5.26,
2010-04,5.24,
2010-05,5.23,
2010-06,5.22,
2010-07,5.20,
2010-08,5.18,
2010-09,5.15,
2010-10,5.13,
2010-11,5.11,
2010-12,5.10,
2011-01,5.09,
2011-02,5.08,
2011-03,5.07,
2011-04,5.05,
2011-05,5.04,
2011-06,5.04,
2011-07,5.03,
2011-08,5.02,
2011-09,5.02,
2011-10,5.01,
2011-11,5.01,
2011-12,5.00,
2012-01,4.99,
2012-02,4.98,
2012-03,4.97,
2012-04,4.96,
2012-05,4.94,
2012-06,4.93,
2012-07,4.92,
2012-08,4.90,
2012-09,4.90,
2012-10,4.89,
2012-11,4.87,
2012-12,4.87,
2013-01,4.86,
2013-02,4.85,
2013-03,4.83,
2013-04,4.81,
2013-05,4.80,
2013-06,4.78,
2013-07,4.76,
2013-08,4.75,
2013-09,4.74,
2013-10,4.74,
2013-11,4.73,
2013-12,4.72,
2014-01,4.71,
2014-02,4.70,
2014-03,4.68,
2014-04,4.67,
2014-05,4.65,
2014-06,4.62,
2014-07,4.60,
2014-08,4.57,
2014-09,4.54,
2014-10,4.51,
2014-11,4.47,
2014-12,4.43,
2015-01,4.38,
