"",BBK01.OEAE15H,BBK01.OEAE15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:08,
2002-01,4.137,
2002-04,3.679,
2002-07,3.541,
2002-10,4.154,
2003-01,3.834,
2003-04,2.617,
2003-07,2.701,
2003-10,2.887,
2004-01,2.526,
2004-04,2.542,
2004-07,2.529,
2004-10,2.335,
2005-01,2.237,
2005-04,2.163,
2005-07,2.212,
2005-10,2.539,
2006-01,2.429,
2006-04,2.403,
2006-07,2.438,
2006-10,2.247,
2007-01,2.378,
2007-04,2.291,
2007-07,2.455,
2007-10,2.387,
2008-01,2.424,
2008-04,2.521,
2008-07,2.455,
2008-10,2.668,
2009-01,3.090,
2009-04,2.929,
2009-07,2.830,
2009-10,2.354,
2010-01,2.665,
2010-04,2.861,
2010-07,2.773,
2010-10,2.828,
2011-01,2.839,
2011-04,2.874,
2011-07,2.840,
2011-10,2.747,
2012-01,2.778,
2012-04,2.780,
2012-07,2.741,
2012-10,2.404,
2013-01,2.343,
2013-04,2.466,
2013-07,2.640,
2013-10,2.619,
2014-01,2.540,
2014-04,2.726,
2014-07,2.640,
