"",BBK01.OELO03K,BBK01.OELO03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:40,
2002-01,0.325,
2002-04,0.421,
2002-07,0.420,
2002-10,0.207,
2003-01,0.205,
2003-04,0.203,
2003-07,0.188,
2003-10,0.187,
2004-01,0.221,
2004-04,0.192,
2004-07,0.193,
2004-10,0.212,
2005-01,0.232,
2005-04,0.248,
2005-07,0.254,
2005-10,0.238,
2006-01,0.253,
2006-04,0.222,
2006-07,0.254,
2006-10,0.289,
2007-01,0.345,
2007-04,0.375,
2007-07,0.319,
2007-10,0.300,
2008-01,0.305,
2008-04,0.336,
2008-07,0.456,
2008-10,0.432,
2009-01,0.300,
2009-04,0.296,
2009-07,0.280,
2009-10,0.261,
2010-01,0.249,
2010-04,0.215,
2010-07,0.237,
2010-10,0.275,
2011-01,0.255,
2011-04,0.257,
2011-07,0.251,
2011-10,0.264,
2012-01,0.217,
2012-04,0.181,
2012-07,0.193,
2012-10,0.171,
2013-01,0.147,
2013-04,0.164,
2013-07,0.150,
2013-10,0.175,
2014-01,0.006,
2014-04,0.194,
2014-07,0.192,
