"",BBK01.QUF509,BBK01.QUF509_FLAGS
"",All foreign subsidiaries: Long-term loans and advances to non-residents / Slovenia / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:29,
2003-12,1.336,
2004-01,1.343,
2004-02,1.367,
2004-03,1.375,
2004-04,1.408,
2004-05,1.409,
2004-06,1.437,
2004-07,1.468,
2004-08,1.554,
2004-09,1.581,
2004-10,1.599,
2004-11,1.586,
2004-12,1.614,
2005-01,1.651,
2005-02,1.766,
2005-03,1.769,
2005-04,1.789,
2005-05,1.800,
2005-06,1.989,
2005-07,2.013,
2005-08,2.042,
2005-09,2.066,
2005-10,2.116,
2005-11,2.138,
2005-12,2.225,
2006-01,2.230,
2006-02,2.266,
2006-03,2.273,
2006-04,2.265,
2006-05,2.390,
2006-06,2.439,
2006-07,2.403,
2006-08,2.420,
2006-09,2.493,
2006-10,2.491,
2006-11,2.525,
2006-12,2.671,
2007-01,0.301,
2007-02,0.309,
2007-03,0.319,
2007-04,0.406,
2007-05,0.432,
2007-06,0.432,
2007-07,0.418,
2007-08,0.414,
2007-09,0.397,
2007-10,0.388,
2007-11,0.388,
2007-12,3.408,
2008-01,4.452,
2008-02,4.535,
2008-03,4.690,
2008-04,4.699,
2008-05,4.757,
2008-06,4.859,
2008-07,4.931,
2008-08,4.875,
2008-09,5.105,
2008-10,5.165,
2008-11,5.092,
2008-12,5.181,
2009-01,5.201,
2009-02,5.198,
2009-03,5.144,
2009-04,5.167,
2009-05,5.184,
2009-06,5.284,
2009-07,5.284,
2009-08,5.262,
2009-09,5.275,
2009-10,5.271,
2009-11,5.282,
2009-12,0.197,
2010-01,0.196,
2010-02,0.196,
2010-03,0.191,
2010-04,0.173,
2010-05,0.173,
2010-06,0.169,
2010-07,0.168,
2010-08,0.168,
2010-09,0.138,
2010-10,0.120,
2010-11,0.116,
2010-12,0.105,
2011-01,0.088,
2011-02,0.088,
2011-03,0.087,
2011-04,0.079,
2011-05,0.012,
2011-06,0.012,
2011-07,0.012,
2011-08,0.012,
2011-09,0.012,
2011-10,0.006,
2011-11,0.006,
2011-12,0.006,
2012-01,0.006,
2012-02,0.003,
2012-03,0.003,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,-,Nothing exists
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,-,Nothing exists
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,-,Nothing exists
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,-,Nothing exists
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,-,Nothing exists
2014-10,-,Nothing exists
2014-11,-,Nothing exists
