"",BBK01.OEAC08K,BBK01.OEAC08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:20,
2002-01,1.757,
2002-04,2.029,
2002-07,1.832,
2002-10,2.171,
2003-01,1.731,
2003-04,1.775,
2003-07,1.717,
2003-10,2.230,
2004-01,1.582,
2004-04,2.461,
2004-07,1.844,
2004-10,1.473,
2005-01,1.134,
2005-04,1.180,
2005-07,1.825,
2005-10,2.223,
2006-01,2.278,
2006-04,2.454,
2006-07,2.452,
2006-10,2.364,
2007-01,2.573,
2007-04,2.666,
2007-07,2.759,
2007-10,2.796,
2008-01,2.986,
2008-04,3.195,
2008-07,3.222,
2008-10,3.894,
2009-01,4.043,
2009-04,5.088,
2009-07,5.012,
2009-10,4.693,
2010-01,5.909,
2010-04,6.050,
2010-07,6.671,
2010-10,6.271,
2011-01,6.218,
2011-04,6.172,
2011-07,6.495,
2011-10,6.963,
2012-01,6.960,
2012-04,7.476,
2012-07,6.324,
2012-10,6.278,
2013-01,6.426,
2013-04,7.139,
2013-07,6.499,
2013-10,6.927,
2014-01,6.643,
2014-04,6.959,
2014-07,7.052,
