"",BBK01.OEAH26P,BBK01.OEAH26P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:34,
2002-01,6.884,
2002-04,6.743,
2002-07,6.548,
2002-10,6.750,
2003-01,6.977,
2003-04,7.069,
2003-07,7.109,
2003-10,7.372,
2004-01,7.437,
2004-04,7.500,
2004-07,7.511,
2004-10,7.608,
2005-01,7.925,
2005-04,7.941,
2005-07,7.917,
2005-10,8.030,
2006-01,7.944,
2006-04,7.870,
2006-07,7.734,
2006-10,7.802,
2007-01,7.674,
2007-04,7.535,
2007-07,7.368,
2007-10,7.355,
2008-01,7.171,
2008-04,7.075,
2008-07,6.855,
2008-10,6.937,
2009-01,6.991,
2009-04,7.019,
2009-07,7.145,
2009-10,7.312,
2010-01,7.499,
2010-04,7.607,
2010-07,7.671,
2010-10,7.870,
2011-01,7.943,
2011-04,7.989,
2011-07,7.938,
2011-10,8.044,
2012-01,8.090,
2012-04,8.031,
2012-07,8.005,
2012-10,8.169,
2013-01,8.064,
2013-04,8.008,
2013-07,7.916,
2013-10,7.935,
2014-01,7.890,
2014-04,7.791,
2014-07,7.696,
