"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NL.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Netherlands / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:55,
2009-09,946,
2009-10,893,
2009-11,957,
2009-12,1013,
2010-01,1016,
2010-02,1223,
2010-03,1276,
2010-04,1539,
2010-05,1632,
2010-06,1797,
2010-07,1757,
2010-08,1563,
2010-09,1311,
2010-10,1226,
2010-11,1193,
2010-12,1239,
2011-01,1180,
2011-02,1098,
2011-03,1058,
2011-04,1063,
2011-05,1060,
2011-06,1174,
2011-07,1128,
2011-08,1277,
2011-09,1317,
2011-10,1213,
2011-11,1265,
2011-12,1283,
2012-01,1136,
2012-02,1180,
2012-03,960,
2012-04,1156,
2012-05,1286,
2012-06,1274,
2012-07,1438,
2012-08,1411,
2012-09,1387,
2012-10,1378,
2012-11,1397,
2012-12,1459,
2013-01,1329,
2013-02,1278,
2013-03,1409,
2013-04,1317,
2013-05,1622,
2013-06,1807,
2013-07,1927,
2013-08,1311,
2013-09,1114,
2013-10,1083,
2013-11,976,
2013-12,963,
2014-01,1001,
2014-02,1087,
2014-03,1144,
2014-04,1171,
2014-05,1240,
2014-06,1237,
2014-07,1229,
2014-08,1289,
2014-09,1311,
2014-10,1288,
2014-11,1349,
