"",BBK01.CEB330,BBK01.CEB330_FLAGS
"",Securities other than shares debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:17,
1991-01,465.5,
1991-04,483.7,
1991-07,495.1,
1991-10,515.3,
1992-01,542.3,
1992-04,546.8,
1992-07,571.9,
1992-10,600.8,
1993-01,661.2,
1993-04,662.7,
1993-07,698.9,
1993-10,726.6,
1994-01,713.1,
1994-04,695.9,
1994-07,692.4,
1994-10,704.9,
1995-01,729.8,
1995-04,768.3,
1995-07,803.1,
1995-10,850.7,
1996-01,872.6,
1996-04,887.5,
1996-07,922.5,
1996-10,957.8,
1997-01,1000.7,
1997-04,1022.3,
1997-07,1037.8,
1997-10,1039.3,
1998-01,1100.6,
1998-04,1129.2,
1998-07,1192.0,
1998-10,1219.6,
1999-01,1269.8,
1999-04,1292.9,
1999-07,1284.9,
1999-10,1304.1,
2000-01,1308.3,
2000-04,1365.0,
2000-07,1403.7,
2000-10,1424.7,
2001-01,1484.3,
2001-04,1481.5,
2001-07,1506.1,
2001-10,1517.5,
2002-01,1519.7,
2002-04,1527.3,
2002-07,1602.4,
2002-10,1590.3,
2003-01,1630.2,
2003-04,1659.7,
2003-07,1618.0,
2003-10,1604.9,
2004-01,1690.9,
2004-04,1670.4,
2004-07,1706.9,
2004-10,1707.0,
2005-01,1728.9,
2005-04,1824.5,
2005-07,1814.8,
2005-10,1743.5,
2006-01,1742.8,
2006-04,1714.8,
2006-07,1717.4,
2006-10,1709.0,
2007-01,1725.6,
2007-04,1695.4,
2007-07,1696.2,
2007-10,1688.0,
2008-01,1709.6,
2008-04,1662.6,
2008-07,1676.7,
2008-10,1709.5,
2009-01,1681.8,
2009-04,1658.3,
2009-07,1670.5,
2009-10,1638.4,
2010-01,1653.3,
2010-04,1656.1,
2010-07,1612.3,
2010-10,1533.5,
2011-01,1462.7,
2011-04,1450.8,
2011-07,1495.4,
2011-10,1491.5,
2012-01,1473.9,
2012-04,1487.0,
2012-07,1477.6,
2012-10,1433.5,
2013-01,1395.3,
2013-04,1335.9,
2013-07,1289.7,
2013-10,1249.1,
2014-01,1236.1,
