"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.ES.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Spain,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:46,
2009-09,10860,
2009-10,10770,
2009-11,10924,
2009-12,11328,
2010-01,9984,
2010-02,9235,
2010-03,9703,
2010-04,9181,
2010-05,8293,
2010-06,8231,
2010-07,9209,
2010-08,8946,
2010-09,9222,
2010-10,9595,
2010-11,8102,
2010-12,8675,
2011-01,9759,
2011-02,9753,
2011-03,9281,
2011-04,9430,
2011-05,8979,
2011-06,8903,
2011-07,8217,
2011-08,7236,
2011-09,7173,
2011-10,7616,
2011-11,6812,
2011-12,6830,
2012-01,6786,
2012-02,6752,
2012-03,6254,
2012-04,5555,
2012-05,4684,
2012-06,5497,
2012-07,5246,
2012-08,5516,
2012-09,5913,
2012-10,6093,
2012-11,6197,
2012-12,6501,
2013-01,6815,
2013-02,6517,
2013-03,6411,
2013-04,6961,
2013-05,6911,
2013-06,6288,
2013-07,7143,
2013-08,7126,
2013-09,7830,
2013-10,8789,
2013-11,8886,
2013-12,8897,
2014-01,8569,
2014-02,8786,
2014-03,9231,
2014-04,9658,
2014-05,10213,
2014-06,10533,
2014-07,10445,
2014-08,10464,
2014-09,10475,
2014-10,10037,
2014-11,10325,
