"",BBK01.OEAE35N,BBK01.OEAE35N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:47,
2002-01,0.741,
2002-04,0.728,
2002-07,0.740,
2002-10,0.727,
2003-01,0.742,
2003-04,0.720,
2003-07,0.704,
2003-10,0.680,
2004-01,0.670,
2004-04,0.677,
2004-07,0.693,
2004-10,0.697,
2005-01,0.745,
2005-04,0.746,
2005-07,0.753,
2005-10,0.816,
2006-01,0.853,
2006-04,0.825,
2006-07,0.888,
2006-10,0.814,
2007-01,0.841,
2007-04,0.913,
2007-07,0.989,
2007-10,0.997,
2008-01,0.976,
2008-04,0.968,
2008-07,1.134,
2008-10,1.238,
2009-01,1.156,
2009-04,1.091,
2009-07,1.174,
2009-10,0.968,
2010-01,0.895,
2010-04,0.997,
2010-07,1.031,
2010-10,1.051,
2011-01,1.062,
2011-04,1.050,
2011-07,1.016,
2011-10,1.008,
2012-01,0.994,
2012-04,0.985,
2012-07,0.993,
2012-10,0.963,
2013-01,0.972,
2013-04,0.980,
2013-07,0.969,
2013-10,0.961,
2014-01,0.981,
2014-04,0.919,
2014-07,0.921,
