"",BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.TW.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:24,
1991-01,-0.706,
1991-04,-1.320,
1991-07,-1.181,
1991-10,0.601,
1992-01,1.457,
1992-04,0.289,
1992-07,-0.324,
1992-10,-0.448,
1993-01,-0.209,
1993-04,0.723,
1993-07,0.522,
1993-10,1.392,
1994-01,-2.221,
1994-04,-0.612,
1994-07,1.968,
1994-10,-0.155,
1995-01,0.376,
1995-04,0.485,
1995-07,0.306,
1995-10,0.079,
1996-01,0.897,
1996-04,-0.063,
1996-07,0.800,
1996-10,1.240,
1997-01,0.300,
1997-04,0.025,
1997-07,0.075,
1997-10,-1.730,
1998-01,-0.267,
1998-04,-1.080,
1998-07,-0.737,
1998-10,0.981,
1999-01,1.808,
1999-04,6.246,
1999-07,-0.179,
1999-10,-0.892,
2000-01,-1.229,
2000-04,-2.625,
2000-07,0.569,
2000-10,2.122,
2001-01,0.704,
2001-04,11.687,
2001-07,-0.644,
2001-10,-0.191,
2002-01,-0.045,
2002-04,3.328,
2002-07,-2.598,
2002-10,-4.861,
2003-01,-1.094,
2003-04,0.386,
2003-07,3.730,
2003-10,1.183,
2004-01,5.256,
2004-04,0.579,
2004-07,4.793,
2004-10,0.885,
2005-01,3.389,
2005-04,2.277,
2005-07,2.351,
2005-10,1.489,
2006-01,4.562,
2006-04,1.547,
2006-07,-2.002,
2006-10,-2.763,
2007-01,5.335,
2007-04,1.567,
2007-07,0.270,
2007-10,-7.423,
2008-01,6.470,
2008-04,4.606,
2008-07,0.178,
2008-10,-9.136,
2009-01,-2.473,
2009-04,-3.046,
2009-07,183.349,
2009-10,-13.909,
2010-01,-16.518,
2010-04,-10.654,
2010-07,-11.244,
2010-10,-1.368,
2011-01,-4.242,
2011-04,3.651,
2011-07,-1.339,
2011-10,-0.294,
2012-01,-0.854,
2012-04,-1.623,
2012-07,4.813,
2012-10,5.689,
2013-01,0.335,
2013-04,0.230,
2013-07,-6.352,
2013-10,1.582,
2014-01,5.699,Provisional value
2014-04,1.374,Provisional value
2014-07,5.267,Provisional value
2014-10,7.333,Provisional value
