"",BBK01.OEBK02L,BBK01.OEBK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:57,
2002-01,2.545,
2002-04,3.268,
2002-07,3.829,
2002-10,4.090,
2003-01,5.363,
2003-04,5.984,
2003-07,6.003,
2003-10,5.955,
2004-01,6.820,
2004-04,7.466,
2004-07,7.731,
2004-10,8.106,
2005-01,8.354,
2005-04,8.821,
2005-07,8.857,
2005-10,8.788,
2006-01,8.725,
2006-04,8.821,
2006-07,8.399,
2006-10,7.903,
2007-01,7.873,
2007-04,7.892,
2007-07,7.617,
2007-10,7.214,
2008-01,6.972,
2008-04,6.410,
2008-07,7.205,
2008-10,7.192,
2009-01,8.313,
2009-04,7.442,
2009-07,8.769,
2009-10,9.791,
2010-01,10.371,
2010-04,10.719,
2010-07,10.107,
2010-10,10.968,
2011-01,11.163,
2011-04,13.070,
2011-07,14.692,
2011-10,13.150,
2012-01,13.848,
2012-04,13.867,
2012-07,14.158,
2012-10,14.916,
2013-01,15.234,
2013-04,15.604,
2013-07,16.703,
2013-10,15.067,
2014-01,15.154,
2014-04,16.102,
2014-07,15.941,
