"",BBFB1.Q.N.DE.GB.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:08,
1991-01,2639.142,
1991-04,2773.736,
1991-07,2829.099,
1991-10,2925.821,
1992-01,2781.176,
1992-04,2840.174,
1992-07,2958.512,
1992-10,2783.685,
1993-01,2889.268,
1993-04,2710.940,
1993-07,2689.343,
1993-10,2439.494,
1994-01,2165.884,
1994-04,2195.185,
1994-07,2470.902,
1994-10,2462.873,
1995-01,2861.709,
1995-04,2698.716,
1995-07,2842.668,
1995-10,2573.952,
1996-01,2245.587,
1996-04,2156.739,
1996-07,2384.595,
1996-10,2601.399,
1997-01,2603.438,
1997-04,2974.269,
1997-07,2724.814,
1997-10,2848.520,
1998-01,2244.462,
1998-04,2213.453,
1998-07,1927.207,
1998-10,968.296,
1999-01,1939.497,
1999-04,2288.027,
1999-07,2278.805,
1999-10,2888.459,
2000-01,1920.043,
2000-04,2112.044,
2000-07,2545.898,
2000-10,2677.451,
2001-01,3312.603,
2001-04,3211.876,
2001-07,2750.240,
2001-10,3056.789,
2002-01,3142.762,
2002-04,3312.723,
2002-07,3275.455,
2002-10,3134.763,
2003-01,3868.864,
2003-04,3977.075,
2003-07,4097.554,
2003-10,4420.950,
2004-01,3768.069,
2004-04,3831.700,
2004-07,3820.023,
2004-10,4200.957,
2005-01,5552.506,
2005-04,5748.171,
2005-07,5720.535,
2005-10,5935.940,
2006-01,5988.851,
2006-04,7006.118,
2006-07,7646.909,
2006-10,8576.024,
2007-01,9440.331,
2007-04,9411.551,
2007-07,9055.005,
2007-10,8927.942,
2008-01,5499.151,
2008-04,6045.798,
2008-07,5539.866,
2008-10,3772.993,
2009-01,4202.361,
2009-04,3660.889,
2009-07,3343.208,
2009-10,3348.926,
2010-01,5078.771,
2010-04,5296.927,
2010-07,5478.375,
2010-10,6679.026,
2011-01,5200.193,
2011-04,5338.438,
2011-07,5371.890,
2011-10,5184.807,
2012-01,5005.672,
2012-04,4875.567,
2012-07,4760.650,
2012-10,4681.788,
2013-01,3388.420,
2013-04,3326.029,
2013-07,3287.240,
2013-10,3253.882,
2014-01,3339.025,Provisional value
2014-04,3324.159,Provisional value
2014-07,3144.761,Provisional value
