"",BBK01.OECL06N,BBK01.OECL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:53,
2002-01,0.186,
2002-04,0.182,
2002-07,0.159,
2002-10,0.132,
2003-01,0.106,
2003-04,0.099,
2003-07,0.089,
2003-10,0.081,
2004-01,0.068,
2004-04,0.063,
2004-07,0.059,
2004-10,0.054,
2005-01,0.047,
2005-04,0.043,
2005-07,0.040,
2005-10,0.038,
2006-01,0.031,
2006-04,0.029,
2006-07,0.027,
2006-10,0.025,
2007-01,0.022,
2007-04,0.021,
2007-07,0.020,
2007-10,0.021,
2008-01,0.019,
2008-04,0.018,
2008-07,0.036,
2008-10,0.030,
2009-01,0.025,
2009-04,0.020,
2009-07,0.015,
2009-10,0.011,
2010-01,0.010,
2010-04,0.009,
2010-07,0.008,
2010-10,0.008,
2011-01,0.007,
2011-04,0.118,
2011-07,0.127,
2011-10,0.142,
2012-01,0.170,
2012-04,0.173,
2012-07,0.179,
2012-10,0.101,
2013-01,0.086,
2013-04,0.084,
2013-07,0.086,
2013-10,0.092,
2014-01,0.105,
2014-04,0.106,
2014-07,0.099,
