"",BBK01.OEAD25T,BBK01.OEAD25T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:19,
2002-01,0.033,
2002-04,0.032,
2002-07,0.032,
2002-10,0.030,
2003-01,0.028,
2003-04,0.031,
2003-07,0.034,
2003-10,0.025,
2004-01,0.022,
2004-04,0.020,
2004-07,0.017,
2004-10,0.013,
2005-01,0.014,
2005-04,0.015,
2005-07,0.013,
2005-10,0.011,
2006-01,0.010,
2006-04,0.010,
2006-07,0.025,
2006-10,0.014,
2007-01,0.012,
2007-04,0.015,
2007-07,0.015,
2007-10,0.021,
2008-01,0.014,
2008-04,0.015,
2008-07,0.022,
2008-10,0.024,
2009-01,0.017,
2009-04,0.010,
2009-07,0.018,
2009-10,0.015,
2010-01,0.013,
2010-04,0.011,
2010-07,0.011,
2010-10,0.010,
2011-01,0.011,
2011-04,0.011,
2011-07,0.013,
2011-10,0.013,
2012-01,0.013,
2012-04,0.013,
2012-07,0.013,
2012-10,0.013,
2013-01,0.010,
2013-04,0.009,
2013-07,0.009,
2013-10,0.015,
2014-01,0.016,
2014-04,0.019,
2014-07,0.018,
