"",BBFB1.Q.N.DE.GR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:31,
1991-01,15.535,
1991-04,22.005,
1991-07,28.282,
1991-10,23.492,
1992-01,29.252,
1992-04,22.758,
1992-07,18.402,
1992-10,30.752,
1993-01,22.954,
1993-04,27.671,
1993-07,29.410,
1993-10,36.649,
1994-01,14.143,
1994-04,9.443,
1994-07,14.148,
1994-10,20.674,
1995-01,47.822,
1995-04,45.805,
1995-07,48.324,
1995-10,48.024,
1996-01,-8.606,
1996-04,-2.801,
1996-07,100.281,
1996-10,-4.168,
1997-01,123.943,
1997-04,150.254,
1997-07,150.907,
1997-10,115.478,
1998-01,72.647,
1998-04,155.116,
1998-07,232.861,
1998-10,138.077,
1999-01,199.761,
1999-04,220.443,
1999-07,230.817,
1999-10,221.605,
2000-01,166.198,
2000-04,180.588,
2000-07,234.700,
2000-10,234.087,
2001-01,254.228,
2001-04,241.725,
2001-07,287.184,
2001-10,320.679,
2002-01,271.643,
2002-04,273.272,
2002-07,247.914,
2002-10,255.594,
2003-01,246.916,
2003-04,237.962,
2003-07,258.639,
2003-10,281.352,
2004-01,279.013,
2004-04,317.392,
2004-07,376.258,
2004-10,388.733,
2005-01,400.400,
2005-04,481.984,
2005-07,471.867,
2005-10,470.704,
2006-01,450.538,
2006-04,500.389,
2006-07,492.317,
2006-10,509.057,
2007-01,517.227,
2007-04,538.706,
2007-07,465.060,
2007-10,492.461,
2008-01,560.390,
2008-04,523.920,
2008-07,516.241,
2008-10,502.697,
2009-01,439.637,
2009-04,455.759,
2009-07,474.793,
2009-10,502.804,
2010-01,440.728,
2010-04,456.680,
2010-07,482.557,
2010-10,523.130,
2011-01,463.270,
2011-04,466.595,
2011-07,316.726,
2011-10,212.786,
2012-01,206.645,
2012-04,150.603,
2012-07,191.410,
2012-10,182.239,
2013-01,349.216,
2013-04,337.759,
2013-07,325.829,
2013-10,315.765,
2014-01,310.639,Provisional value
2014-04,317.262,Provisional value
2014-07,294.940,Provisional value
