"",BBSF2.M.1.T.00000.IMM01.I.F.GSS.CH.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.GSS.CH.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Properties / Switzerland,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:48,
2009-09,496,
2009-10,330,
2009-11,331,
2009-12,350,
2010-01,355,
2010-02,360,
2010-03,374,
2010-04,372,
2010-05,382,
2010-06,415,
2010-07,408,
2010-08,432,
2010-09,422,
2010-10,418,
2010-11,441,
2010-12,460,
2011-01,458,
2011-02,460,
2011-03,488,
2011-04,444,
2011-05,471,
2011-06,425,
2011-07,449,
2011-08,439,
2011-09,421,
2011-10,455,
2011-11,452,
2011-12,461,
2012-01,465,
2012-02,496,
2012-03,496,
2012-04,503,
2012-05,503,
2012-06,503,
2012-07,503,
2012-08,503,
2012-09,539,
2012-10,539,
2012-11,540,
2012-12,539,
2013-01,540,
2013-02,546,
2013-03,546,
2013-04,545,
2013-05,585,
2013-06,588,
2013-07,589,
2013-08,589,
2013-09,594,
2013-10,588,
2013-11,590,
2013-12,591,
2014-01,594,
2014-02,597,
2014-03,595,
2014-04,595,
2014-05,594,
2014-06,597,
2014-07,614,
2014-08,619,
2014-09,614,
2014-10,614,
2014-11,616,
