"",BBK01.CELE50,BBK01.CELE50_FLAGS
"",short-term loans                                            debtor: OFI                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:35,
1999-01,0.5,
1999-04,13.3,
1999-07,-8.9,
1999-10,5.6,
2000-01,26.8,
2000-04,16.3,
2000-07,-8.0,
2000-10,-1.1,
2001-01,18.4,
2001-04,-3.7,
2001-07,4.5,
2001-10,-15.2,
2002-01,-4.6,
2002-04,-6.2,
2002-07,-0.3,
2002-10,-4.5,
2003-01,18.6,
2003-04,-0.9,
2003-07,1.8,
2003-10,-10.5,
2004-01,8.8,
2004-04,-9.7,
2004-07,-0.6,
2004-10,-0.9,
2005-01,0.7,
2005-04,3.8,
2005-07,20.0,
2005-10,-7.0,
2006-01,31.0,
2006-04,10.6,
2006-07,9.2,
2006-10,-22.1,
2007-01,39.2,
2007-04,17.4,
2007-07,5.9,
2007-10,-15.7,
2008-01,33.8,
2008-04,13.1,
2008-07,-5.5,
2008-10,10.5,
2009-01,14.7,
2009-04,5.4,
2009-07,-13.2,
2009-10,11.8,
2010-01,-30.0,
2010-04,36.2,
2010-07,2.7,
2010-10,1.8,
2011-01,5.4,
2011-04,47.3,
2011-07,60.6,
2011-10,-29.0,
2012-01,31.8,
2012-04,37.9,
2012-07,-13.4,
2012-10,-10.4,
2013-01,33.3,
2013-04,53.8,
2013-07,-38.6,
2013-10,-24.2,
2014-01,20.2,
2014-04,6.9,
2014-07,2.3,
