"",BBK01.OEAH75H,BBK01.OEAH75H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:10,
2002-01,3.152,
2002-04,3.090,
2002-07,2.966,
2002-10,3.072,
2003-01,2.645,
2003-04,2.617,
2003-07,2.455,
2003-10,2.634,
2004-01,2.219,
2004-04,1.972,
2004-07,1.894,
2004-10,1.816,
2005-01,1.743,
2005-04,1.708,
2005-07,1.531,
2005-10,1.526,
2006-01,1.424,
2006-04,1.441,
2006-07,1.420,
2006-10,1.798,
2007-01,1.870,
2007-04,2.082,
2007-07,2.297,
2007-10,3.383,
2008-01,3.368,
2008-04,3.631,
2008-07,3.691,
2008-10,3.424,
2009-01,3.267,
2009-04,2.974,
2009-07,3.409,
2009-10,3.229,
2010-01,3.103,
2010-04,2.670,
2010-07,2.772,
2010-10,16.821,
2011-01,11.799,
2011-04,10.449,
2011-07,10.267,
2011-10,10.234,
2012-01,9.626,
2012-04,9.277,
2012-07,9.170,
2012-10,9.447,
2013-01,9.025,
2013-04,8.478,
2013-07,3.114,
2013-10,3.124,
2014-01,3.221,
2014-04,3.349,
2014-07,3.305,
