"",BBK01.CEB70X,BBK01.CEB70X_FLAGS
"",Other claims debtor: All sectors                   creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:21,
1997-10,0.1,
1998-01,0.1,
1998-04,0.2,
1998-07,0.1,
1998-10,0.1,
1999-01,0.1,
1999-04,0.4,
1999-07,0.3,
1999-10,0.4,
2000-01,0.7,
2000-04,0.5,
2000-07,0.4,
2000-10,0.4,
2001-01,0.4,
2001-04,0.7,
2001-07,0.4,
2001-10,0.4,
2002-01,0.5,
2002-04,0.5,
2002-07,0.6,
2002-10,0.8,
2003-01,0.9,
2003-04,1.4,
2003-07,1.5,
2003-10,1.3,
2004-01,1.4,
2004-04,1.4,
2004-07,1.9,
2004-10,1.3,
2005-01,1.3,
2005-04,1.3,
2005-07,1.3,
2005-10,1.6,
2006-01,1.8,
2006-04,1.9,
2006-07,1.8,
2006-10,1.6,
2007-01,1.8,
2007-04,1.9,
2007-07,1.7,
2007-10,2.1,
2008-01,1.9,
2008-04,2.0,
2008-07,2.0,
2008-10,2.0,
2009-01,1.9,
2009-04,1.9,
2009-07,1.8,
2009-10,1.7,
2010-01,1.6,
2010-04,1.6,
2010-07,1.6,
2010-10,1.8,
2011-01,1.7,
2011-04,1.7,
2011-07,1.8,
2011-10,1.8,
2012-01,2.0,
2012-04,1.9,
2012-07,1.8,
2012-10,2.0,
2013-01,1.9,
2013-04,1.8,
2013-07,1.8,
2013-10,2.6,
2014-01,2.0,
