"",BBK01.OEHI08V,BBK01.OEHI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:13,
2002-01,14.577,
2002-04,14.317,
2002-07,14.281,
2002-10,14.735,
2003-01,14.920,
2003-04,15.042,
2003-07,15.137,
2003-10,15.472,
2004-01,15.555,
2004-04,15.634,
2004-07,15.532,
2004-10,15.689,
2005-01,15.536,
2005-04,15.339,
2005-07,15.292,
2005-10,15.551,
2006-01,15.516,
2006-04,15.219,
2006-07,14.887,
2006-10,14.851,
2007-01,14.598,
2007-04,14.314,
2007-07,13.881,
2007-10,13.893,
2008-01,13.718,
2008-04,13.489,
2008-07,13.271,
2008-10,13.561,
2009-01,13.776,
2009-04,13.735,
2009-07,13.848,
2009-10,14.097,
2010-01,14.164,
2010-04,14.243,
2010-07,14.471,
2010-10,15.008,
2011-01,15.009,
2011-04,14.911,
2011-07,15.014,
2011-10,15.283,
2012-01,15.403,
2012-04,15.651,
2012-07,15.838,
2012-10,16.210,
2013-01,16.417,
2013-04,16.503,
2013-07,16.528,
2013-10,16.685,
2014-01,16.762,
2014-04,16.754,
2014-07,16.762,
