"",BBK01.OECL09H,BBK01.OECL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:12,
2002-01,0.374,
2002-04,0.366,
2002-07,0.363,
2002-10,0.348,
2003-01,0.333,
2003-04,0.322,
2003-07,0.314,
2003-10,0.306,
2004-01,0.301,
2004-04,0.353,
2004-07,0.347,
2004-10,0.343,
2005-01,0.395,
2005-04,0.383,
2005-07,0.368,
2005-10,0.356,
2006-01,0.346,
2006-04,0.348,
2006-07,0.348,
2006-10,0.342,
2007-01,0.357,
2007-04,0.369,
2007-07,0.382,
2007-10,0.412,
2008-01,0.439,
2008-04,0.451,
2008-07,0.490,
2008-10,0.718,
2009-01,0.719,
2009-04,0.705,
2009-07,0.702,
2009-10,0.559,
2010-01,0.449,
2010-04,0.436,
2010-07,0.417,
2010-10,0.458,
2011-01,0.499,
2011-04,0.512,
2011-07,0.519,
2011-10,0.531,
2012-01,0.516,
2012-04,0.503,
2012-07,0.466,
2012-10,0.387,
2013-01,0.315,
2013-04,0.264,
2013-07,0.248,
2013-10,0.239,
2014-01,0.229,
2014-04,0.221,
2014-07,0.269,
