"",BBK01.OEAC06O,BBK01.OEAC06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:07,
2002-01,1.570,
2002-04,1.599,
2002-07,1.611,
2002-10,1.554,
2003-01,1.564,
2003-04,1.596,
2003-07,1.591,
2003-10,1.664,
2004-01,1.682,
2004-04,1.706,
2004-07,1.716,
2004-10,1.654,
2005-01,1.598,
2005-04,1.619,
2005-07,1.633,
2005-10,1.584,
2006-01,1.607,
2006-04,1.630,
2006-07,1.641,
2006-10,1.592,
2007-01,1.595,
2007-04,1.617,
2007-07,1.601,
2007-10,1.529,
2008-01,1.539,
2008-04,1.572,
2008-07,1.586,
2008-10,1.535,
2009-01,1.611,
2009-04,1.621,
2009-07,1.624,
2009-10,1.569,
2010-01,1.449,
2010-04,1.592,
2010-07,1.624,
2010-10,1.502,
2011-01,1.537,
2011-04,1.567,
2011-07,1.569,
2011-10,1.545,
2012-01,1.574,
2012-04,1.612,
2012-07,1.616,
2012-10,1.588,
2013-01,1.612,
2013-04,1.656,
2013-07,1.672,
2013-10,1.612,
2014-01,1.648,
2014-04,1.678,
2014-07,1.710,
