"",BBK01.OEYB14H,BBK01.OEYB14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:34,
2002-01,0.664,
2002-04,0.518,
2002-07,0.608,
2002-10,0.848,
2003-01,0.812,
2003-04,0.555,
2003-07,0.745,
2003-10,0.946,
2004-01,0.954,
2004-04,0.963,
2004-07,0.911,
2004-10,0.855,
2005-01,0.781,
2005-04,0.758,
2005-07,0.697,
2005-10,0.647,
2006-01,0.499,
2006-04,0.465,
2006-07,0.510,
2006-10,0.428,
2007-01,0.448,
2007-04,0.477,
2007-07,0.410,
2007-10,0.457,
2008-01,0.635,
2008-04,0.646,
2008-07,0.654,
2008-10,0.742,
2009-01,0.634,
2009-04,0.655,
2009-07,0.712,
2009-10,0.437,
2010-01,0.447,
2010-04,0.474,
2010-07,0.465,
2010-10,0.490,
2011-01,0.459,
2011-04,0.483,
2011-07,0.457,
2011-10,0.427,
2012-01,0.406,
2012-04,0.402,
2012-07,0.393,
2012-10,0.368,
2013-01,0.343,
2013-04,0.323,
2013-07,0.320,
2013-10,0.309,
2014-01,0.295,
2014-04,0.283,
2014-07,0.270,
