"",BBSF2.M.1.T.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:28,
2009-09,6935,
2009-10,3472,
2009-11,3317,
2009-12,5156,
2010-01,4046,
2010-02,2032,
2010-03,4725,
2010-04,4500,
2010-05,3015,
2010-06,1945,
2010-07,4093,
2010-08,2891,
2010-09,5811,
2010-10,4008,
2010-11,3324,
2010-12,5905,
2011-01,3317,
2011-02,1748,
2011-03,3292,
2011-04,3982,
2011-05,2755,
2011-06,2353,
2011-07,3137,
2011-08,1669,
2011-09,2349,
2011-10,4083,
2011-11,5480,
2011-12,5653,
2012-01,3606,
2012-02,8058,
2012-03,2903,
2012-04,4018,
2012-05,2415,
2012-06,6979,
2012-07,4111,
2012-08,4713,
2012-09,7487,
2012-10,3241,
2012-11,4073,
2012-12,7234,
2013-01,5698,
2013-02,3853,
2013-03,2553,
2013-04,2669,
2013-05,3875,
2013-06,3890,
2013-07,6615,
2013-08,1971,
2013-09,4596,
2013-10,4752,
2013-11,4257,
2013-12,7616,
2014-01,3052,
2014-02,4121,
2014-03,3481,
2014-04,3306,
2014-05,3397,
2014-06,2933,
2014-07,3620,
2014-08,2231,
2014-09,3122,
2014-10,16844,
2014-11,5934,
