"",BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:34,
1991-01,1.251,
1991-04,3.408,
1991-07,3.408,
1991-10,2.713,
1992-01,-7.020,
1992-04,-1.458,
1992-07,-1.907,
1992-10,-4.345,
1993-01,-69.034,
1993-04,-69.034,
1993-07,-71.015,
1993-10,-69.034,
1994-01,-8.387,
1994-04,-16.210,
1994-07,-8.387,
1994-10,-40.060,
1995-01,-89.183,
1995-04,-95.428,
1995-07,-90.203,
1995-10,-88.854,
1996-01,-58.096,
1996-04,-62.199,
1996-07,-56.088,
1996-10,-55.494,
1997-01,-26.854,
1997-04,-25.565,
1997-07,-47.783,
1997-10,-26.900,
1998-01,-,Nothing exists
1998-04,-0.256,
1998-07,-0.143,
1998-10,-1.302,
1999-01,-37.018,
1999-04,-35.409,
1999-07,-38.000,
1999-10,-38.000,
2000-01,53.964,
2000-04,51.792,
2000-07,56.000,
2000-10,48.856,
2001-01,-109.358,
2001-04,-403.640,
2001-07,-152.474,
2001-10,-134.346,
2002-01,20.840,
2002-04,-90.053,
2002-07,26.079,
2002-10,34.288,
2003-01,4.156,
2003-04,-58.282,
2003-07,9.210,
2003-10,28.233,
2004-01,222.692,
2004-04,188.739,
2004-07,214.597,
2004-10,246.322,
2005-01,125.497,
2005-04,84.026,
2005-07,91.790,
2005-10,112.541,
2006-01,246.727,
2006-04,237.957,
2006-07,52.913,
2006-10,361.251,
2007-01,402.424,
2007-04,-231.015,
2007-07,312.107,
2007-10,171.818,
2008-01,643.648,
2008-04,-1028.124,
2008-07,-682.348,
2008-10,-194.601,
2009-01,-12.115,
2009-04,-128.454,
2009-07,149.607,
2009-10,24.277,
2010-01,100.248,
2010-04,55.455,
2010-07,133.093,
2010-10,150.342,
2011-01,108.353,
2011-04,-12.887,
2011-07,41.848,
2011-10,97.657,
2012-01,123.024,
2012-04,167.993,
2012-07,42.132,
2012-10,135.414,
2013-01,217.923,
2013-04,203.116,
2013-07,-64.980,
2013-10,128.146,
2014-01,193.893,Provisional value
2014-04,201.270,Provisional value
2014-07,141.138,Provisional value
2014-10,100.015,Provisional value
