"",BBK01.CELQ05,BBK01.CELQ05_FLAGS
"",short-term time deposits                              debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:11,
1999-01,-0.5,
1999-04,-1.8,
1999-07,-0.6,
1999-10,-3.7,
2000-01,8.8,
2000-04,-7.3,
2000-07,0.6,
2000-10,-3.8,
2001-01,7.5,
2001-04,-1.1,
2001-07,1.1,
2001-10,-0.6,
2002-01,13.5,
2002-04,0.8,
2002-07,-4.3,
2002-10,-14.6,
2003-01,10.0,
2003-04,6.0,
2003-07,4.8,
2003-10,-6.8,
2004-01,8.5,
2004-04,-4.7,
2004-07,1.1,
2004-10,-5.8,
2005-01,13.6,
2005-04,-8.6,
2005-07,6.6,
2005-10,-6.4,
2006-01,8.5,
2006-04,-5.0,
2006-07,8.0,
2006-10,-9.3,
2007-01,19.0,
2007-04,-4.1,
2007-07,-7.0,
2007-10,-6.1,
2008-01,24.6,
2008-04,-16.8,
2008-07,10.0,
2008-10,-6.3,
2009-01,31.0,
2009-04,-7.9,
2009-07,-9.9,
2009-10,17.4,
2010-01,-14.1,
2010-04,24.9,
2010-07,4.4,
2010-10,-11.5,
2011-01,2.1,
2011-04,49.6,
2011-07,51.8,
2011-10,-28.8,
2012-01,3.6,
2012-04,44.5,
2012-07,2.3,
2012-10,-42.1,
2013-01,43.4,
2013-04,29.3,
2013-07,-54.3,
2013-10,-4.3,
2014-01,23.2,
2014-04,3.1,
2014-07,-6.1,
