"",BBK01.OECB03S,BBK01.OECB03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:50,
2002-01,0.121,
2002-04,0.115,
2002-07,0.107,
2002-10,0.081,
2003-01,0.077,
2003-04,0.075,
2003-07,0.072,
2003-10,0.104,
2004-01,0.095,
2004-04,0.082,
2004-07,0.059,
2004-10,0.051,
2005-01,0.065,
2005-04,0.100,
2005-07,0.102,
2005-10,0.104,
2006-01,0.099,
2006-04,0.093,
2006-07,0.094,
2006-10,0.092,
2007-01,0.098,
2007-04,0.083,
2007-07,0.086,
2007-10,0.083,
2008-01,0.085,
2008-04,0.116,
2008-07,0.121,
2008-10,0.123,
2009-01,0.125,
2009-04,0.077,
2009-07,0.079,
2009-10,0.102,
2010-01,0.106,
2010-04,0.113,
2010-07,0.097,
2010-10,0.108,
2011-01,0.105,
2011-04,0.087,
2011-07,0.094,
2011-10,0.101,
2012-01,0.105,
2012-04,0.109,
2012-07,0.110,
2012-10,0.107,
2013-01,0.112,
2013-04,0.121,
2013-07,0.116,
2013-10,0.106,
2014-01,0.104,
2014-04,0.101,
2014-07,0.098,
