"",BBK01.OEAA16G,BBK01.OEAA16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:26,
2002-01,3.221,
2002-04,3.155,
2002-07,3.107,
2002-10,3.001,
2003-01,2.851,
2003-04,2.794,
2003-07,2.772,
2003-10,2.724,
2004-01,2.600,
2004-04,2.551,
2004-07,2.503,
2004-10,2.461,
2005-01,1.056,
2005-04,1.041,
2005-07,1.000,
2005-10,0.967,
2006-01,0.897,
2006-04,0.873,
2006-07,0.853,
2006-10,0.880,
2007-01,0.846,
2007-04,0.821,
2007-07,0.796,
2007-10,0.770,
2008-01,0.738,
2008-04,0.714,
2008-07,0.692,
2008-10,0.657,
2009-01,0.633,
2009-04,0.609,
2009-07,0.585,
2009-10,0.546,
2010-01,0.555,
2010-04,0.533,
2010-07,0.503,
2010-10,0.645,
2011-01,0.646,
2011-04,0.660,
2011-07,0.650,
2011-10,0.717,
2012-01,0.730,
2012-04,0.756,
2012-07,0.744,
2012-10,0.729,
2013-01,0.682,
2013-04,0.699,
2013-07,0.678,
2013-10,0.670,
2014-01,0.635,
2014-04,0.615,
2014-07,0.580,
