"",BBK01.OEAH16S,BBK01.OEAH16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:13,
2002-01,7.741,
2002-04,7.863,
2002-07,7.897,
2002-10,8.426,
2003-01,8.084,
2003-04,8.089,
2003-07,8.244,
2003-10,8.805,
2004-01,8.507,
2004-04,8.706,
2004-07,8.861,
2004-10,9.267,
2005-01,9.346,
2005-04,9.291,
2005-07,9.356,
2005-10,10.026,
2006-01,9.416,
2006-04,9.386,
2006-07,9.385,
2006-10,10.212,
2007-01,9.779,
2007-04,9.692,
2007-07,9.694,
2007-10,10.071,
2008-01,9.580,
2008-04,9.767,
2008-07,9.747,
2008-10,10.758,
2009-01,11.472,
2009-04,12.340,
2009-07,12.627,
2009-10,13.546,
2010-01,13.566,
2010-04,14.075,
2010-07,14.465,
2010-10,14.899,
2011-01,14.220,
2011-04,14.291,
2011-07,14.542,
2011-10,15.335,
2012-01,14.770,
2012-04,14.793,
2012-07,15.629,
2012-10,16.241,
2013-01,16.123,
2013-04,16.516,
2013-07,16.943,
2013-10,17.314,
2014-01,17.126,
2014-04,17.535,
2014-07,18.153,
