"",BBK01.OEAH24M,BBK01.OEAH24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:46,
2002-01,6.895,
2002-04,6.915,
2002-07,6.850,
2002-10,6.712,
2003-01,6.573,
2003-04,6.533,
2003-07,6.574,
2003-10,6.499,
2004-01,6.528,
2004-04,6.598,
2004-07,6.728,
2004-10,6.849,
2005-01,6.758,
2005-04,6.868,
2005-07,6.766,
2005-10,6.671,
2006-01,6.566,
2006-04,6.507,
2006-07,6.414,
2006-10,6.288,
2007-01,6.070,
2007-04,5.794,
2007-07,5.685,
2007-10,5.591,
2008-01,5.574,
2008-04,5.419,
2008-07,5.265,
2008-10,5.443,
2009-01,5.911,
2009-04,6.266,
2009-07,6.679,
2009-10,7.627,
2010-01,8.079,
2010-04,8.295,
2010-07,8.325,
2010-10,8.419,
2011-01,8.395,
2011-04,8.705,
2011-07,8.713,
2011-10,8.765,
2012-01,8.525,
2012-04,8.474,
2012-07,8.283,
2012-10,7.655,
2013-01,6.902,
2013-04,6.407,
2013-07,6.110,
2013-10,5.850,
2014-01,5.477,
2014-04,4.842,
2014-07,4.526,
