"",BBK01.OEAD14Q,BBK01.OEAD14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:17,
2002-01,0.102,
2002-04,0.102,
2002-07,0.089,
2002-10,0.092,
2003-01,0.093,
2003-04,0.089,
2003-07,0.097,
2003-10,0.068,
2004-01,0.048,
2004-04,0.044,
2004-07,0.040,
2004-10,0.034,
2005-01,0.041,
2005-04,0.036,
2005-07,0.037,
2005-10,0.029,
2006-01,0.046,
2006-04,0.039,
2006-07,0.041,
2006-10,0.035,
2007-01,0.053,
2007-04,0.039,
2007-07,0.034,
2007-10,0.026,
2008-01,0.032,
2008-04,0.034,
2008-07,0.028,
2008-10,0.024,
2009-01,0.030,
2009-04,0.024,
2009-07,0.021,
2009-10,0.019,
2010-01,0.036,
2010-04,0.036,
2010-07,0.027,
2010-10,0.019,
2011-01,0.024,
2011-04,0.035,
2011-07,0.026,
2011-10,0.020,
2012-01,0.035,
2012-04,0.038,
2012-07,0.030,
2012-10,0.040,
2013-01,0.055,
2013-04,0.054,
2013-07,0.046,
2013-10,0.048,
2014-01,0.038,
2014-04,0.039,
2014-07,0.030,
