"",BBFB1.Q.N.DE.PT.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:37,
1991-01,234.309,
1991-04,283.963,
1991-07,41.203,
1991-10,240.484,
1992-01,75.366,
1992-04,191.955,
1992-07,71.410,
1992-10,196.076,
1993-01,202.827,
1993-04,211.524,
1993-07,53.676,
1993-10,62.768,
1994-01,0.265,
1994-04,17.018,
1994-07,-88.522,
1994-10,0.441,
1995-01,-34.400,
1995-04,62.881,
1995-07,-188.267,
1995-10,-56.026,
1996-01,-2.857,
1996-04,2.311,
1996-07,-174.047,
1996-10,-24.348,
1997-01,74.190,
1997-04,20.526,
1997-07,-13.179,
1997-10,149.976,
1998-01,30.932,
1998-04,52.317,
1998-07,-166.050,
1998-10,81.464,
1999-01,51.617,
1999-04,55.165,
1999-07,123.050,
1999-10,390.165,
2000-01,655.856,
2000-04,377.940,
2000-07,92.068,
2000-10,259.714,
2001-01,334.489,
2001-04,261.427,
2001-07,56.821,
2001-10,364.545,
2002-01,433.166,
2002-04,427.232,
2002-07,274.650,
2002-10,296.219,
2003-01,417.846,
2003-04,374.248,
2003-07,403.036,
2003-10,367.184,
2004-01,526.502,
2004-04,711.233,
2004-07,509.735,
2004-10,655.258,
2005-01,1021.661,
2005-04,1170.967,
2005-07,779.019,
2005-10,1212.427,
2006-01,1430.494,
2006-04,1121.985,
2006-07,933.300,
2006-10,945.496,
2007-01,1483.012,
2007-04,1430.805,
2007-07,1221.333,
2007-10,1368.502,
2008-01,1304.310,
2008-04,1209.310,
2008-07,1142.713,
2008-10,1188.207,
2009-01,1079.018,
2009-04,905.727,
2009-07,918.416,
2009-10,1041.981,
2010-01,1093.008,
2010-04,1416.404,
2010-07,871.491,
2010-10,1300.609,
2011-01,1205.454,
2011-04,978.026,
2011-07,650.017,
2011-10,588.966,
2012-01,750.228,
2012-04,576.926,
2012-07,292.870,
2012-10,466.858,
2013-01,731.864,
2013-04,548.816,
2013-07,382.695,
2013-10,627.576,
2014-01,813.907,Provisional value
2014-04,745.108,Provisional value
2014-07,584.246,Provisional value
