"",BBFB1.Q.N.DE.CZ.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:53,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,24.720,
1993-04,11.354,
1993-07,13.133,
1993-10,7.677,
1994-01,3.251,
1994-04,10.559,
1994-07,4.468,
1994-10,16.134,
1995-01,-3.032,
1995-04,15.372,
1995-07,18.265,
1995-10,17.906,
1996-01,0.585,
1996-04,13.860,
1996-07,-0.596,
1996-10,11.538,
1997-01,-12.102,
1997-04,-6.274,
1997-07,-5.789,
1997-10,-6.921,
1998-01,-6.519,
1998-04,-11.544,
1998-07,-13.913,
1998-10,-7.079,
1999-01,-22.770,
1999-04,-5.740,
1999-07,-13.231,
1999-10,-5.626,
2000-01,-22.942,
2000-04,-10.655,
2000-07,-22.737,
2000-10,-5.998,
2001-01,-65.793,
2001-04,-36.133,
2001-07,-76.001,
2001-10,-34.261,
2002-01,-12.996,
2002-04,-23.402,
2002-07,-16.583,
2002-10,-25.607,
2003-01,-9.458,
2003-04,-13.294,
2003-07,-6.524,
2003-10,-32.348,
2004-01,-8.653,
2004-04,-8.999,
2004-07,-10.329,
2004-10,-7.650,
2005-01,9.015,
2005-04,0.264,
2005-07,-3.950,
2005-10,0.439,
2006-01,-0.359,
2006-04,3.347,
2006-07,-3.126,
2006-10,4.173,
2007-01,-1.202,
2007-04,-7.312,
2007-07,-18.580,
2007-10,-4.125,
2008-01,-14.691,
2008-04,-6.582,
2008-07,-1.393,
2008-10,-14.332,
2009-01,-8.510,
2009-04,-3.402,
2009-07,-2.580,
2009-10,-10.211,
2010-01,-12.315,
2010-04,-49.249,
2010-07,-38.851,
2010-10,-35.676,
2011-01,-19.873,
2011-04,-2.404,
2011-07,-7.915,
2011-10,-1.476,
2012-01,-5.503,
2012-04,2.128,
2012-07,-0.842,
2012-10,5.679,
2013-01,6.122,
2013-04,-3.890,
2013-07,8.984,
2013-10,16.552,
2014-01,12.347,Provisional value
2014-04,10.578,Provisional value
2014-07,12.099,Provisional value
