"",BBK01.OXA8Y1,BBK01.OXA8Y1_FLAGS
"",Transferable deposits of banks (MFIs) Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:12,
2010-06,133.175,
2010-07,116.914,
2010-08,122.574,
2010-09,131.639,
2010-10,119.090,
2010-11,129.067,
2010-12,123.336,
2011-01,113.480,
2011-02,111.746,
2011-03,107.038,
2011-04,111.420,
2011-05,110.118,
2011-06,111.452,
2011-07,106.799,
2011-08,106.262,
2011-09,139.348,
2011-10,129.909,
2011-11,131.039,
2011-12,132.542,
2012-01,147.169,
2012-02,156.458,
2012-03,160.234,
2012-04,166.884,
2012-05,184.559,
2012-06,151.233,
2012-07,195.962,
2012-08,174.424,
2012-09,162.524,
2012-10,178.463,
2012-11,183.968,
2012-12,160.419,
2013-01,167.477,
2013-02,165.022,
2013-03,155.909,
2013-04,158.023,
2013-05,151.007,
2013-06,148.938,
2013-07,147.139,
2013-08,137.468,
2013-09,135.869,
2013-10,130.759,
2013-11,141.299,
2013-12,137.005,
2014-01,141.764,
2014-02,133.623,
2014-03,134.581,
2014-04,136.519,
2014-05,132.028,
2014-06,149.599,
2014-07,145.469,
2014-08,147.081,
2014-09,154.769,
2014-10,157.517,
2014-11,162.650,
2014-12,167.082,Provisional value
