"",BBK01.OEAD03I,BBK01.OEAD03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:59,
2002-01,0.140,
2002-04,0.167,
2002-07,0.130,
2002-10,0.135,
2003-01,0.106,
2003-04,0.145,
2003-07,0.177,
2003-10,0.171,
2004-01,0.167,
2004-04,0.170,
2004-07,0.169,
2004-10,0.162,
2005-01,0.164,
2005-04,0.154,
2005-07,0.146,
2005-10,0.140,
2006-01,0.142,
2006-04,0.140,
2006-07,0.140,
2006-10,0.144,
2007-01,0.143,
2007-04,0.146,
2007-07,0.142,
2007-10,0.152,
2008-01,0.155,
2008-04,0.255,
2008-07,0.257,
2008-10,0.250,
2009-01,0.241,
2009-04,0.242,
2009-07,0.242,
2009-10,0.240,
2010-01,0.166,
2010-04,0.152,
2010-07,0.094,
2010-10,0.076,
2011-01,0.110,
2011-04,0.099,
2011-07,0.096,
2011-10,0.087,
2012-01,0.143,
2012-04,0.135,
2012-07,0.132,
2012-10,0.163,
2013-01,0.166,
2013-04,0.156,
2013-07,0.154,
2013-10,0.141,
2014-01,0.133,
2014-04,0.127,
2014-07,0.119,
