"",BBK01.OEHB14M,BBK01.OEHB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:01,
2002-01,2.034,
2002-04,2.022,
2002-07,1.990,
2002-10,1.975,
2003-01,1.949,
2003-04,1.929,
2003-07,1.869,
2003-10,1.757,
2004-01,1.700,
2004-04,1.694,
2004-07,1.658,
2004-10,1.597,
2005-01,1.586,
2005-04,1.536,
2005-07,1.517,
2005-10,1.449,
2006-01,1.460,
2006-04,1.450,
2006-07,1.433,
2006-10,1.356,
2007-01,1.377,
2007-04,1.390,
2007-07,1.332,
2007-10,1.328,
2008-01,1.399,
2008-04,1.385,
2008-07,1.367,
2008-10,1.351,
2009-01,1.358,
2009-04,1.347,
2009-07,1.286,
2009-10,1.243,
2010-01,1.247,
2010-04,1.254,
2010-07,1.192,
2010-10,1.136,
2011-01,1.147,
2011-04,1.192,
2011-07,1.139,
2011-10,1.103,
2012-01,1.134,
2012-04,1.127,
2012-07,1.085,
2012-10,1.037,
2013-01,1.052,
2013-04,1.066,
2013-07,1.050,
2013-10,1.007,
2014-01,1.003,
2014-04,1.033,
2014-07,1.018,
