"",BBK01.OELO01V,BBK01.OELO01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:21,
2002-01,2.583,
2002-04,2.586,
2002-07,2.546,
2002-10,2.561,
2003-01,2.672,
2003-04,2.691,
2003-07,2.670,
2003-10,2.696,
2004-01,2.782,
2004-04,2.822,
2004-07,2.817,
2004-10,2.854,
2005-01,2.946,
2005-04,2.977,
2005-07,2.971,
2005-10,2.956,
2006-01,2.984,
2006-04,2.974,
2006-07,2.924,
2006-10,2.841,
2007-01,2.837,
2007-04,2.749,
2007-07,2.664,
2007-10,2.654,
2008-01,2.667,
2008-04,2.641,
2008-07,2.572,
2008-10,2.526,
2009-01,2.584,
2009-04,2.620,
2009-07,2.709,
2009-10,2.733,
2010-01,2.877,
2010-04,2.941,
2010-07,2.957,
2010-10,2.804,
2011-01,2.848,
2011-04,3.028,
2011-07,2.988,
2011-10,2.966,
2012-01,3.003,
2012-04,2.999,
2012-07,2.998,
2012-10,3.043,
2013-01,3.092,
2013-04,3.078,
2013-07,3.081,
2013-10,3.068,
2014-01,3.057,
2014-04,3.127,
2014-07,3.053,
