"",BBK01.OEXL07P,BBK01.OEXL07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:29,
2002-01,0.291,
2002-04,0.285,
2002-07,0.282,
2002-10,0.285,
2003-01,0.286,
2003-04,0.298,
2003-07,0.312,
2003-10,0.309,
2004-01,0.298,
2004-04,0.292,
2004-07,0.278,
2004-10,0.292,
2005-01,0.304,
2005-04,0.310,
2005-07,0.323,
2005-10,0.344,
2006-01,0.342,
2006-04,0.339,
2006-07,0.323,
2006-10,0.327,
2007-01,0.355,
2007-04,0.375,
2007-07,0.403,
2007-10,0.443,
2008-01,0.462,
2008-04,0.455,
2008-07,0.449,
2008-10,0.539,
2009-01,0.531,
2009-04,0.519,
2009-07,0.540,
2009-10,0.510,
2010-01,0.483,
2010-04,0.478,
2010-07,0.477,
2010-10,0.539,
2011-01,0.538,
2011-04,0.521,
2011-07,0.515,
2011-10,0.510,
2012-01,0.489,
2012-04,0.478,
2012-07,0.465,
2012-10,0.442,
2013-01,0.405,
2013-04,0.383,
2013-07,0.375,
2013-10,0.370,
2014-01,0.354,
2014-04,0.345,
2014-07,0.375,
