"",BBK01.OEHB03H,BBK01.OEHB03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:10,
2002-01,4.995,
2002-04,5.007,
2002-07,5.057,
2002-10,5.053,
2003-01,4.979,
2003-04,5.047,
2003-07,5.102,
2003-10,5.127,
2004-01,5.077,
2004-04,5.124,
2004-07,5.119,
2004-10,5.042,
2005-01,4.916,
2005-04,4.953,
2005-07,4.973,
2005-10,4.949,
2006-01,4.851,
2006-04,4.766,
2006-07,4.737,
2006-10,4.674,
2007-01,4.690,
2007-04,4.713,
2007-07,4.564,
2007-10,4.468,
2008-01,4.279,
2008-04,4.174,
2008-07,4.301,
2008-10,4.555,
2009-01,4.578,
2009-04,4.773,
2009-07,5.032,
2009-10,5.160,
2010-01,5.210,
2010-04,5.379,
2010-07,5.577,
2010-10,5.749,
2011-01,5.850,
2011-04,5.936,
2011-07,6.012,
2011-10,6.100,
2012-01,6.224,
2012-04,6.316,
2012-07,6.471,
2012-10,6.499,
2013-01,6.540,
2013-04,6.587,
2013-07,6.761,
2013-10,6.748,
2014-01,6.679,
2014-04,6.743,
2014-07,6.870,
