"",BBK01.OEAB02Q,BBK01.OEAB02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:04,
2002-01,11.273,
2002-04,10.929,
2002-07,11.004,
2002-10,12.012,
2003-01,11.816,
2003-04,12.276,
2003-07,13.340,
2003-10,12.686,
2004-01,11.973,
2004-04,10.703,
2004-07,9.974,
2004-10,9.871,
2005-01,10.395,
2005-04,12.122,
2005-07,13.265,
2005-10,10.740,
2006-01,15.420,
2006-04,15.306,
2006-07,13.629,
2006-10,10.334,
2007-01,15.369,
2007-04,12.044,
2007-07,10.027,
2007-10,13.502,
2008-01,13.501,
2008-04,14.543,
2008-07,12.978,
2008-10,11.754,
2009-01,11.550,
2009-04,12.694,
2009-07,11.995,
2009-10,12.366,
2010-01,10.899,
2010-04,13.194,
2010-07,11.014,
2010-10,11.775,
2011-01,12.365,
2011-04,9.822,
2011-07,9.789,
2011-10,9.224,
2012-01,11.823,
2012-04,12.661,
2012-07,15.320,
2012-10,9.584,
2013-01,8.596,
2013-04,8.300,
2013-07,8.329,
2013-10,8.706,
2014-01,8.457,
2014-04,8.795,
2014-07,9.122,
