"",BBK01.OEHO02P,BBK01.OEHO02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:50,
2002-01,0.543,
2002-04,0.391,
2002-07,0.426,
2002-10,0.481,
2003-01,0.494,
2003-04,0.373,
2003-07,0.376,
2003-10,0.342,
2004-01,0.370,
2004-04,0.315,
2004-07,0.298,
2004-10,0.373,
2005-01,0.358,
2005-04,0.287,
2005-07,0.268,
2005-10,0.365,
2006-01,0.376,
2006-04,0.329,
2006-07,0.351,
2006-10,0.372,
2007-01,0.455,
2007-04,0.334,
2007-07,0.337,
2007-10,0.369,
2008-01,0.483,
2008-04,0.365,
2008-07,0.390,
2008-10,0.468,
2009-01,0.468,
2009-04,0.476,
2009-07,0.390,
2009-10,0.442,
2010-01,0.357,
2010-04,0.315,
2010-07,0.260,
2010-10,0.282,
2011-01,0.347,
2011-04,0.303,
2011-07,0.253,
2011-10,0.258,
2012-01,0.253,
2012-04,0.262,
2012-07,0.254,
2012-10,0.351,
2013-01,0.280,
2013-04,0.219,
2013-07,0.214,
2013-10,0.237,
2014-01,0.242,
2014-04,0.214,
2014-07,0.193,
