"",BBK01.OEAH89L,BBK01.OEAH89L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:34,
2002-01,56.591,
2002-04,52.338,
2002-07,36.585,
2002-10,36.898,
2003-01,37.301,
2003-04,36.426,
2003-07,34.556,
2003-10,38.289,
2004-01,31.089,
2004-04,31.488,
2004-07,37.754,
2004-10,36.225,
2005-01,37.309,
2005-04,39.003,
2005-07,38.312,
2005-10,29.924,
2006-01,28.169,
2006-04,31.212,
2006-07,31.669,
2006-10,31.959,
2007-01,29.195,
2007-04,30.407,
2007-07,29.097,
2007-10,26.968,
2008-01,25.304,
2008-04,25.345,
2008-07,25.327,
2008-10,22.306,
2009-01,21.071,
2009-04,11.560,
2009-07,10.967,
2009-10,11.032,
2010-01,8.531,
2010-04,8.355,
2010-07,9.934,
2010-10,8.619,
2011-01,8.239,
2011-04,8.931,
2011-07,9.170,
2011-10,9.630,
2012-01,9.270,
2012-04,9.966,
2012-07,9.718,
2012-10,9.633,
2013-01,12.903,
2013-04,12.530,
2013-07,13.606,
2013-10,14.896,
2014-01,14.038,
2014-04,13.838,
2014-07,14.335,
