"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:46,
1991-01,-743.704,
1991-02,929.639,
1991-03,1713.597,
1991-04,603.517,
1991-05,2052.636,
1991-06,1102.153,
1991-07,-260.529,
1991-08,211.983,
1991-09,-225.486,
1991-10,39.887,
1991-11,1050.149,
1991-12,-22.056,
1992-01,-146.967,
1992-02,3168.005,
1992-03,1454.194,
1992-04,912.003,
1992-05,18.074,
1992-06,3097.505,
1992-07,136.684,
1992-08,-1752.905,
1992-09,-3439.351,
1992-10,1026.041,
1992-11,-981.606,
1992-12,449.545,
1993-01,-870.303,
1993-02,2013.375,
1993-03,3557.464,
1993-04,2533.532,
1993-05,1718.408,
1993-06,-1205.417,
1993-07,-965.321,
1993-08,444.372,
1993-09,-1006.274,
1993-10,720.341,
1993-11,-535.044,
1993-12,5.854,
1994-01,-686.293,
1994-02,3571.622,
1994-03,696.435,
1994-04,2013.338,
1994-05,1061.529,
1994-06,-796.892,
1994-07,1316.618,
1994-08,940.562,
1994-09,1646.465,
1994-10,1510.627,
1994-11,1456.128,
1994-12,1218.417,
1995-01,637.626,
1995-02,1435.355,
1995-03,-83.626,
1995-04,1353.989,
1995-05,1501.321,
1995-06,690.492,
1995-07,-113.498,
1995-08,1879.752,
1995-09,2507.596,
1995-10,526.409,
1995-11,970.787,
1995-12,1001.852,
1996-01,1530.212,
1996-02,2422.861,
1996-03,64.484,
1996-04,1669.604,
1996-05,891.655,
1996-06,-82.321,
1996-07,1962.394,
1996-08,-217.825,
1996-09,708.377,
1996-10,173.828,
1996-11,164.930,
1996-12,1371.530,
1997-01,3118.149,
1997-02,2821.942,
1997-03,821.042,
1997-04,3860.808,
1997-05,3524.417,
1997-06,6965.661,
1997-07,10079.199,
1997-08,2496.888,
1997-09,3576.582,
1997-10,4760.633,
1997-11,1591.357,
1997-12,-1767.676,
1998-01,4007.648,
1998-02,5959.343,
1998-03,2480.106,
1998-04,5068.423,
1998-05,7772.974,
1998-06,6382.041,
1998-07,4210.246,
1998-08,-1208.365,
1998-09,2786.554,
1998-10,5351.487,
1998-11,7226.388,
1998-12,6531.968,
1999-01,7974.419,
1999-02,13535.895,
1999-03,14746.871,
1999-04,11362.828,
1999-05,13082.198,
1999-06,3675.896,
1999-07,5673.867,
1999-08,4014.583,
1999-09,8703.440,
1999-10,4266.004,
1999-11,4660.083,
1999-12,2899.303,
2000-01,11276.448,
2000-02,14427.960,
2000-03,4848.685,
2000-04,1259.415,
2000-05,5649.796,
2000-06,3291.578,
2000-07,7743.374,
2000-08,743.900,
2000-09,11618.954,
2000-10,3758.525,
2000-11,6366.002,
2000-12,-854.911,
2001-01,12003.267,
2001-02,10635.721,
2001-03,11707.063,
2001-04,9599.283,
2001-05,11601.897,
2001-06,6746.203,
2001-07,4946.148,
2001-08,2112.871,
2001-09,-546.714,
2001-10,6691.846,
2001-11,5249.193,
2001-12,14320.614,
2002-01,3025.129,
2002-02,2517.706,
2002-03,8864.331,
2002-04,3150.819,
2002-05,11468.052,
2002-06,2315.267,
2002-07,6947.067,
2002-08,-2087.817,
2002-09,4323.829,
2002-10,433.711,
2002-11,7800.342,
2002-12,-1289.052,
2003-01,3256.825,
2003-02,9137.914,
2003-03,2331.845,
2003-04,11855.754,
2003-05,8771.983,
2003-06,4753.786,
2003-07,-2054.731,
2003-08,-1026.373,
2003-09,6941.336,
2003-10,9172.121,
2003-11,1567.151,
2003-12,-449.391,
2004-01,4088.170,
2004-02,7038.754,
2004-03,15014.090,
2004-04,8518.661,
2004-05,7113.473,
